level,name_base,name_prefix,name_suffix,name_full,name_short,organiser,organiser_name,clubs,entry,stages,qualification_spots,qualification_byes_format,tier_1_byes,tier_1_byes_format,tier_1_bye_entry_format,tier_1_entry_format,tier_1_intermediate,tier_1_qualifying_third,tier_1_qualifying_second,tier_1_qualifying_first,tier_1_qualifying_preliminary,tier_2_byes,tier_2_byes_format,tier_2_bye_entry_format,tier_2_entry_format,tier_2_intermediate,tier_2_qualifying_sixth,tier_2_qualifying_fifth,tier_2_qualifying_fourth,tier_2_qualifying_third,tier_2_qualifying_second,tier_2_qualifying_first,tier_2_qualifying_preliminary,amateur_cup_byes,amateur_cup_bye_entry_format,non_association_byes,non_association_bye_entry_format,non_association_other_byes,non_association_other_bye_entry_format,invite_byes,invite_bye_entry_format,format_start,format_end,type,quality,gender,victory,draw,loss,points_tiebreaker,match_system,uneven_team_system,draw_system,replay_venue,add_replay_venue,extra_time,previous_winner,home_and_away,venue_system,venue_semis,venue_finals,video_referee,promotion_teams,promotion_system,relegation_teams,relegation_system
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"preliminary round, qualifying rounds, rounds",10,association leagues,16,all,1st round,,,,,,,6,partial,1st round,qualifying,,,,,10,,,,,,,,,,,,1896,1897,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"preliminary round, qualifying rounds, rounds",10,association leagues and non-association league,18,all,1st round,,,,,,,3,partial,1st round,qualifying,,,,,11,1,3,,,,1,1st round,,,,,1898,1898,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"preliminary round, qualifying rounds, rounds",10,association leagues and non-association league,17,partial,1st round,qualifying,,1,,,,2,partial,1st round,qualifying or preliminary,,,,,13,,2,1,,,3,1st round,,,,,1899,1899,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, intermediate round, rounds",10,association leagues and non-association league,16,partial,1st round,intermediate,2,,,,,3,partial,1st round,intermediate or qualifying,6,,,,9,,,,,,3,1st round,2,intermediate,,,1900,1900,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, intermediate round, rounds",10,association leagues and non-association league,17,partial,1st round,intermediate,1,,,,,3,partial,1st round,intermediate or qualifying,5,,,,10,,,,,,2,1st round,3,intermediate,,,1901,1901,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, intermediate round, rounds",10,association leagues and non-association league,17,partial,1st round,intermediate,1,,,,,2,partial,1st round,intermediate or qualifying,5,,,,8,,3,,,,3,1st round,4,intermediate,,,1902,1902,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, intermediate round, rounds",10,association leagues and non-association league,17,partial,1st round,intermediate,1,,,,,1,partial,1st round,intermediate or qualifying,6,,,,8,1,2,,,,4,1st round,3,intermediate,,,1903,1903,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, intermediate round, rounds",10,association leagues and non-association league,18,all,1st round,,,,,,,2,partial,1st round,intermediate or qualifying,5,5,,,6,,,,,,2,1st round,5,intermediate,,,1904,1904,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,9,partial,1st round,qualifying,,,,7,,,4,,,,11,1st round,,,,,1905,1905,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,16,partial,1st round,qualifying,,,3,,,,,1,1,1st round,15,1st round,,,,,1906,1906,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
