team_name,team_base,team_suffix,country_name,sport_name,season_founded,season_last
Streatham & Mitcham,Streatham & Mitcham,RLFC,UK,Rugby League,1935,1936
Swinton,Swinton,RLFC,UK,Rugby League,1896,1994
Swinton Church,Swinton Church,_,UK,Rugby League,1896,1897
Swinton Park,Swinton Park,_,UK,Rugby League,1913,1913
Thames Board Mills,Thames Board Mills,_,UK,Rugby League,1963,1971
Thatto Heath,Thatto Heath,RLFC,UK,Rugby League,1987,1994
Thornhill,Thornhill,ARLFC,UK,Rugby League,1994,1994
Thornton Rangers,Thornton,Rangers,UK,Rugby League,1896,1896
Thrum Hall,Thrum Hall,_,UK,Rugby League,1902,1902
Todmorden,Todmorden,ARLFC,UK,Rugby League,1899,1901
Trafford Borough,Trafford Borough,_,UK,Rugby League,1989,1991
Treherbert,Treherbert,RLFC,UK,Rugby League,1908,1909
Triangle Valve,Triangle Valve,_,UK,Rugby League,1955,1955
Twelve Apostles,Twelve Apostles,RFC,UK,Rugby League,1924,1927
Tyldesley,Tyldesley,FC,UK,Rugby League,1895,1900
Ulverston,Ulverston,ARLFC,UK,Rugby League,1897,1898
United Glass Bottle,United Glass Bottle,ARLFC,UK,Rugby League,1938,1938
Uno's Dabs,Uno's,Dabs,UK,Rugby League,1928,1932
Upton & Frickley,Upton & Frickley,_,UK,Rugby League,1993,1994
Victoria Rangers,Victoria,Rangers,UK,Rugby League,1904,1905
Vine Tavern,Vine Tavern,ARLFC,UK,Rugby League,1947,1948
Wakefield Loco,Wakefield,Loco,UK,Rugby League,1956,1956
Wakefield Trinity,Wakefield Trinity,RLFC,UK,Rugby League,1895,1994
Walkden,Walkden,_,UK,Rugby League,1896,1896
Walney,Walney,_,UK,Rugby League,1959,1959
Walney Central,Walney Central,_,UK,Rugby League,1993,1993
Walney Island,Walney Island,_,UK,Rugby League,1994,1994
Wardley,Wardley,_,UK,Rugby League,1914,1923
Warrington,Warrington,FC,UK,Rugby League,1895,1994
Warrington Loco,Warrington,Locos,UK,Rugby League,1896,1896
Warrington St Mary's,Warrington St Mary's,_,UK,Rugby League,1896,1898
Waterhead Hornets,Waterhead,Hornets,UK,Rugby League,1896,1896
Wath Brow Hornets,Wath Brow,Hornets,UK,Rugby League,1899,1994
Werneth,Werneth,_,UK,Rugby League,1897,1902
West Bowling,West Bowling,ARLFC,UK,Rugby League,1993,1994
West Hull,West Hull,ARLFC,UK,Rugby League,1979,1994
Westgate Redoubt,Westgate Redoubt,_,UK,Rugby League,1993,1993
Wheldale Colliery,Wheldale Colliery,ARLFC,UK,Rugby League,1946,1953
Whitehaven,Whitehaven,RLFC,UK,Rugby League,1948,1994
Whitehaven Amateurs,Whitehaven,Amateurs,UK,Rugby League,1970,1970
Whitehaven Recreation,Whitehaven,Recreation,UK,Rugby League,1899,1928
Whitehaven Town,Whitehaven Town,_,UK,Rugby League,1899,1899
Whitworth,Whitworth,_,UK,Rugby League,1897,1900
