occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Labourers Wife Agl,1,Labourer's Wife Agl,POSSESSIVE,Agl,Labourer's Wife Aga
Labourerss,1,Labourerss,UNCHANGED,Labourerss,Labourers
Labourerss Wife,1,Labourerss Wife,UNCHANGED,Labourerss,Labourers Wife
Labourerwife,1,Labourerwife,UNCHANGED,Labourerwife,Labourerwife
Laboures Carter,1,Laboures Carter,UNCHANGED,Laboures,Labourers Carter
Laboures Coalcarrier,1,Laboures Coalcarrier,UNCHANGED,Laboures; Coalcarrier,Labourers Coalcarrier
Laboures Domestic,1,Laboures Domestic,UNCHANGED,Laboures,Labourers Domestic
Laboures in ship yard,1,Laboures in ship yard,UNCHANGED,Laboures,Labourers in ship yard
Laboures Iron Foundry,1,Laboures Iron Foundry,UNCHANGED,Laboures,Labourers Iron Foundry
Laboures Mother,1,Laboures Mother,UNCHANGED,Laboures,Labourers Mother
Laboures Servant,1,Laboures Servant,UNCHANGED,Laboures,Labourers Servant
Laboures Sister,1,Laboures Sister,UNCHANGED,Laboures,Labourers Sister
Laboureson,1,Laboureson,UNCHANGED,Laboureson,Labouress
Labourey,1,Labourey,UNCHANGED,Labourey,Labourer
Labourey Class,1,Labourey Class,UNCHANGED,Labourey,Labourer Class
Labourey Man,1,Labourey Man,UNCHANGED,Labourey,Labourer Man
Labourier Dock,1,Labourier Dock,UNCHANGED,Labourier,Labourer Dock
Labouring in Disstilling,1,Labouring in Disstilling,UNCHANGED,Disstilling,Labouring in Distilling
Labouring Occasionaly,1,Labouring Occasionaly,UNCHANGED,Occasionaly,Labouring Occasionally
Labouringboy,1,Labouringboy,UNCHANGED,Labouringboy,Labouringly
Labouringman,1,Labouringman,UNCHANGED,Labouringman,Labouringman
Labouringman Bacon Curers,1,Labouringman Bacon Curers,UNCHANGED,Labouringman,Labouringman Bacon Curers
Labouriour,1,Labouriour,UNCHANGED,Labouriour,Laborious
Labourir Agricultural,1,Labourir Agricultural,UNCHANGED,Labourir,Labourer Agricultural
Labourir Agrl,1,Labourir Agrl,UNCHANGED,Labourir; Agrl,Labourer Agre
Labourish,1,Labourish,UNCHANGED,Labourish,Labourist
Labouriter Can read and Rite,1,Labouriter Can read and Rite,UNCHANGED,Labouriter,Labourite Can read and Rite
Labourler,1,Labourler,UNCHANGED,Labourler,Labourer
Labourler in Book Works,1,Labourler in Book Works,UNCHANGED,Labourler,Labourer in Book Works
Labourning Man Distillery,1,Labourning Man Distillery,UNCHANGED,Labourning,Labouring Man Distillery
Labourning Man in Distillery,1,Labourning Man in Distillery,UNCHANGED,Labourning,Labouring Man in Distillery
Labouror General,1,Labouror General,UNCHANGED,Labouror,Labourer General
Labouror Genl,1,Labouror Genl,UNCHANGED,Labouror,Labourer Genl
Labouror in Iron Works,1,Labouror in Iron Works,UNCHANGED,Labouror,Labourer in Iron Works
Labouror Shipping Co,1,Labouror Shipping Co,UNCHANGED,Labouror,Labourer Shipping Co
Labouror-Dock,1,Labouror Dock,NORMALIZATION,Labouror,Labourer Dock
Labourour (Agricultural),1,Labourour Agricultural,NORMALIZATION,Labourour,Labourer Agricultural
Labourour Gl,1,Labourour Gl,UNCHANGED,Labourour,Labourer Gl
Labourous Wife,1,Labourous Wife,UNCHANGED,Labourous,Laborous Wife
Labourrier (General),1,Labourrier General,NORMALIZATION,Labourrier,Labourer General
Labourring Wife,1,Labourring Wife,UNCHANGED,Labourring,Labouring Wife
Labours A?tulars,1,Labours A?tulars,UNCHANGED,A?tulars,Labours titulars
Labours Anntiunt,1,Labours Anntiunt,UNCHANGED,Anntiunt,Labours Antient
Labours Daught,1,Labours Daught,UNCHANGED,Daught,Labours Aught
Labours Serveant,1,Labours Serveant,UNCHANGED,Serveant,Labours Serjeant
Labourser Wife,1,Labourser Wife,UNCHANGED,Labourser,Labourer Wife
Labourson the Farm,1,Labourson the Farm,UNCHANGED,Labourson,Laboursome the Farm
Laboururer Builders,1,Laboururer Builders,UNCHANGED,Laboururer,Labourer Builders
Labous Sister,1,Labous Sister,UNCHANGED,Labous,Labour Sister
Labous Son,1,Labous Son,UNCHANGED,Labous,Labour Son
Labower,1,Labower,UNCHANGED,Labower,Layover
Labower General,1,Labower General,UNCHANGED,Labower,Layover General
Labowrer,1,Labowrer,UNCHANGED,Labowrer,Labourer
Labr (Mill),1,Labr Mill,NORMALIZATION,Labr,Laur Mill
Labr AB22B F and D Crown Solicitor,1,Labr AB22B F and D Crown Solicitor,UNCHANGED,Labr; AB22B,Laur abwab F and D Crown Solicitor
Labr Agrl,1,Labr Agrl,UNCHANGED,Labr; Agrl,Laur Agre
Labr and Gardener,1,Labr and Gardener,UNCHANGED,Labr,Laur and Gardener
Labr Cart. Man,1,Labr Cart. Man,UNCHANGED,Labr,Laur Cart. Man
Labr Child,1,Labr Child,UNCHANGED,Labr,Laur Child
Labr Corporation,1,Labr Corporation,UNCHANGED,Labr,Laur Corporation
Labr Domestic Servant,1,Labr Domestic Servant,UNCHANGED,Labr,Laur Domestic Servant
Labr Factory Milk,1,Labr Factory Milk,UNCHANGED,Labr,Laur Factory Milk
Labr Farm,1,Labr Farm,UNCHANGED,Labr,Laur Farm
Labr Flour Grocer,1,Labr Flour Grocer,UNCHANGED,Labr,Laur Flour Grocer
Labr Foundary,1,Labr Foundary,UNCHANGED,Labr; Foundary,Laur Foujdary
Labr Gel,1,Labr Gel,UNCHANGED,Labr,Laur Gel
Labr Groom,1,Labr Groom,UNCHANGED,Labr,Laur Groom
Labr in Bottling Cores,1,Labr in Bottling Cores,UNCHANGED,Labr,Laur in Bottling Cores
Labr in Farm,1,Labr in Farm,UNCHANGED,Labr,Laur in Farm
Labr in Flax Mill,1,Labr in Flax Mill,UNCHANGED,Labr,Laur in Flax Mill
Labr in Gasworks,1,Labr in Gasworks,UNCHANGED,Labr,Laur in Gasworks
Labr in Ironworks,1,Labr in Ironworks,UNCHANGED,Labr,Laur in Ironworks
Labr in Railway,1,Labr in Railway,UNCHANGED,Labr,Laur in Railway
Labr in Rope Work Wareroom,1,Labr in Rope Work Wareroom,UNCHANGED,Labr,Laur in Rope Work Wareroom
Labr on Railway,1,Labr on Railway,UNCHANGED,Labr,Laur on Railway
Labr ord,1,Labr ord,UNCHANGED,Labr,Laur ord
Labr Servant,1,Labr Servant,UNCHANGED,Labr,Laur Servant
Labr Van Driver,1,Labr Van Driver,UNCHANGED,Labr,Laur Van Driver
Labr Woman,1,Labr Woman,UNCHANGED,Labr,Laur Woman
Labr's Wife,1,Labr's Wife,UNCHANGED,Labr's,Laur's Wife
Labr-Builders,1,Labr Builders,NORMALIZATION,Labr,Laur Builders
Labr-Factory Mills,1,Labr Factory Mills,NORMALIZATION,Labr,Laur Factory Mills
Labr-General Unemployed,1,Labr General Unemployed,NORMALIZATION,Labr,Laur General Unemployed
Labr-Railway,1,Labr Railway,NORMALIZATION,Labr,Laur Railway
Labr-Unemployed,1,Labr Unemployed,NORMALIZATION,Labr,Laur Unemployed
Labr. Agricultural,1,Labr. Agricultural,UNCHANGED,Labr,Laur. Agricultural
Labr. Cardriver,1,Labr. Cardriver,UNCHANGED,Labr; Cardriver,Laur. Cabdriver
Labr. Cart Driver,1,Labr. Cart Driver,UNCHANGED,Labr,Laur. Cart Driver
Labr. Cart. Man,1,Labr. Cart. Man,UNCHANGED,Labr,Laur. Cart. Man
Labr. Flour Mill,1,Labr. Flour Mill,UNCHANGED,Labr,Laur. Flour Mill
Labr. Quarryman,1,Labr. Quarryman,UNCHANGED,Labr,Laur. Quarryman
Labr. Unemployed,1,Labr. Unemployed,UNCHANGED,Labr,Laur. Unemployed
Labraour,1,Labraour,UNCHANGED,Labraour,Labour
Labrar,1,Labrar,UNCHANGED,Labrar,Labral
Labrar General,1,Labrar General,UNCHANGED,Labrar,Labral General
Labrar Quay,1,Labrar Quay,UNCHANGED,Labrar,Labral Quay
Labraur,1,Labraur,UNCHANGED,Labraur,Abraum
Labraur Wife,1,Labraur Wife,UNCHANGED,Labraur,Abraum Wife
Labren Man,1,Labren Man,UNCHANGED,Labren,Labret Man
Labrer Dairyman,1,Labrer Dairyman,UNCHANGED,Labrer,Labber Dairyman
Labrer Fireman,1,Labrer Fireman,UNCHANGED,Labrer,Labber Fireman
Labrerer General,1,Labrerer General,UNCHANGED,Labrerer,Larderer General
Labrerour,1,Labrerour,UNCHANGED,Labrerour,Labrerour
Labrier,1,Labrier,UNCHANGED,Labrier,Flabbier
Labring,1,Labring,UNCHANGED,Labring,Sabring
Labriour Agricul,1,Labriour Agricul,UNCHANGED,Labriour; Agricul,Labour Agricole
Labroer Agr,1,Labroer Agr,UNCHANGED,Labroer,Labrose Agr
Labronate Maker,1,Labronate Maker,UNCHANGED,Labronate,Abrogate Maker
Labror (Farm),1,Labror Farm,NORMALIZATION,Labror,Laron Farm
Labror Dock,1,Labror Dock,UNCHANGED,Labror,Laron Dock
Labror Farm,1,Labror Farm,UNCHANGED,Labror,Laron Farm
Labror Farmer,1,Labror Farmer,UNCHANGED,Labror,Laron Farmer
Labror Quay,1,Labror Quay,UNCHANGED,Labror,Laron Quay
Labror's Daughter,1,Labror's Daughter,UNCHANGED,Labror's,Laron's Daughter
Labror's Son,1,Labror's Son,UNCHANGED,Labror's,Laron's Son
Labrorer (Genl),1,Labrorer Genl,NORMALIZATION,Labrorer,Labrose Genl
Labrorers Wife,1,Labrorers Wife,UNCHANGED,Labrorers,Labourers Wife
Labrors Son,1,Labrors Son,UNCHANGED,Labrors,Labrose Son
Labrour (General),1,Labrour General,NORMALIZATION,Labrour,Labour General
Labrour Agricult,1,Labrour Agricult,UNCHANGED,Labrour; Agricult,Labour Agricole
Labrour Builders,1,Labrour Builders,UNCHANGED,Labrour,Labour Builders
Labrour Builders Yard,1,Labrour Builders Yard,UNCHANGED,Labrour,Labour Builders Yard
Labrour Domestic,1,Labrour Domestic,UNCHANGED,Labrour,Labour Domestic
Labrour Genl,1,Labrour Genl,UNCHANGED,Labrour,Labour Genl
Labrour Genl.,1,Labrour Genl.,UNCHANGED,Labrour,Labour Genl.
Labrour in a Bakery,1,Labrour in a Bakery,UNCHANGED,Labrour,Labour in a Bakery
Labrour in Coach Factory,1,Labrour in Coach Factory,UNCHANGED,Labrour,Labour in Coach Factory
Labrour in Coal Yard,1,Labrour in Coal Yard,UNCHANGED,Labrour,Labour in Coal Yard
Labrour in Iron Works,1,Labrour in Iron Works,UNCHANGED,Labrour,Labour in Iron Works
Labrour in Shipyard,1,Labrour in Shipyard,UNCHANGED,Labrour,Labour in Shipyard
Labrour in Soap Works,1,Labrour in Soap Works,UNCHANGED,Labrour,Labour in Soap Works
Labrour Male,1,Labrour Male,UNCHANGED,Labrour,Labour Male
Labrour on County Roads,1,Labrour on County Roads,UNCHANGED,Labrour,Labour on County Roads
Labrour Railway,1,Labrour Railway,UNCHANGED,Labrour,Labour Railway
Labrour Ship Yard,1,Labrour Ship Yard,UNCHANGED,Labrour,Labour Ship Yard
Labrour's Wife,1,Labrour's Wife,UNCHANGED,Labrour's,Labour's Wife
Labroure Agl,1,Labroure Agl,UNCHANGED,Labroure; Agl,Labrose Aga
Labrourer Daughter,1,Labrourer Daughter,UNCHANGED,Labrourer,Labourer Daughter
Labrourer Flour Mill,1,Labrourer Flour Mill,UNCHANGED,Labrourer,Labourer Flour Mill
Labrourer in Gas House,1,Labrourer in Gas House,UNCHANGED,Labrourer,Labourer in Gas House
Labrourer in Iron Works,1,Labrourer in Iron Works,UNCHANGED,Labrourer,Labourer in Iron Works
Labrourer in Shipyard,1,Labrourer in Shipyard,UNCHANGED,Labrourer,Labourer in Shipyard
Labrourer on Farm,1,Labrourer on Farm,UNCHANGED,Labrourer,Labourer on Farm
Labrourer on Railway,1,Labrourer on Railway,UNCHANGED,Labrourer,Labourer on Railway
Labrourers Sister,1,Labrourers Sister,UNCHANGED,Labrourers,Labourers Sister
Labrours Sister,1,Labrours Sister,UNCHANGED,Labrours,Labours Sister
Labrours Son,1,Labrours Son,UNCHANGED,Labrours,Labours Son
Labrs Daughter,1,Labrs Daughter,UNCHANGED,Labrs,Labrys Daughter
Labrs Man,1,Labrs Man,UNCHANGED,Labrs,Labrys Man
Labrs Managing Clerk,1,Labrs Managing Clerk,UNCHANGED,Labrs,Labrys Managing Clerk
Labrsn Son,1,Labrsn Son,UNCHANGED,Labrsn,Laron Son
Labrurer,1,Labrurer,UNCHANGED,Labrurer,Labourer
Labuar,1,Labuar,UNCHANGED,Labuar,Laura
Labuer,1,Labuer,UNCHANGED,Labuer,Labber
Labuer at Docks,1,Labuer at Docks,UNCHANGED,Labuer,Labber at Docks
Labuer Farm,1,Labuer Farm,UNCHANGED,Labuer,Labber Farm
Labuer General,1,Labuer General,UNCHANGED,Labuer,Labber General
Labuerer,1,Labuerer,UNCHANGED,Labuerer,Larderer
Labuerer (Agl),1,Labuerer Agl,NORMALIZATION,Labuerer; Agl,Larderer Aga
Labuor General,1,Labuor General,UNCHANGED,Labuor,Labour General
Labuory,1,Labuory,UNCHANGED,Labuory,Laury
Labuour,1,Labuour,UNCHANGED,Labuour,Labour
Labur (General) Labourer,1,Labur General Labourer,NORMALIZATION,Labur,Labour General Labourer
Labur Brick Layers,1,Labur Brick Layers,UNCHANGED,Labur,Labour Brick Layers
Labure,1,Labure,UNCHANGED,Labure,Laure
Laburer (Ship Yd),1,Laburer Ship Yd,NORMALIZATION,Laburer,Labourer Ship Yd
Laburer Agr Labaurer,1,Laburer Agr Labaurer,UNCHANGED,Laburer; Labaurer,Labourer Agr Labourer
Laburer Agric,1,Laburer Agric,UNCHANGED,Laburer,Labourer Agric
Laburer Agricultural,1,Laburer Agricultural,UNCHANGED,Laburer,Labourer Agricultural
Laburer Agrl,1,Laburer Agrl,UNCHANGED,Laburer; Agrl,Labourer Agre
Laburer Agrl.,1,Laburer Agrl.,UNCHANGED,Laburer; Agrl,Labourer Agre.
Laburer at Ship Yard,1,Laburer at Ship Yard,UNCHANGED,Laburer,Labourer at Ship Yard
Laburer Bond Store,1,Laburer Bond Store,UNCHANGED,Laburer,Labourer Bond Store
Laburer Dray Man,1,Laburer Dray Man,UNCHANGED,Laburer,Labourer Dray Man
Laburer Foundry,1,Laburer Foundry,UNCHANGED,Laburer,Labourer Foundry
Laburer Gen,1,Laburer Gen,UNCHANGED,Laburer,Labourer Gen
Laburer in Lime Works,1,Laburer in Lime Works,UNCHANGED,Laburer,Labourer in Lime Works
Laburer Quay,1,Laburer Quay,UNCHANGED,Laburer,Labourer Quay
Laburer's Wife,1,Laburer's Wife,UNCHANGED,Laburer's,Labourer's Wife
Laburer-Flour Store,1,Laburer Flour Store,NORMALIZATION,Laburer,Labourer Flour Store
Laburere,1,Laburere,UNCHANGED,Laburere,Labourer
Labures,1,Labures,UNCHANGED,Labures,Labores
Labures Son,1,Labures Son,UNCHANGED,Labures,Labores Son
Laburing in Gass Works Man,1,Laburing in Gass Works Man,UNCHANGED,Laburing; Gass,Labouring in Gays Works Man
Laburing Man,1,Laburing Man,UNCHANGED,Laburing,Labouring Man
Laburor Agricultural,1,Laburor Agricultural,UNCHANGED,Laburor,Labourer Agricultural
Laburor at Jar Works,1,Laburor at Jar Works,UNCHANGED,Laburor,Labourer at Jar Works
Laburor at Lime Kilns,1,Laburor at Lime Kilns,UNCHANGED,Laburor,Labourer at Lime Kilns
Laburor Farm,1,Laburor Farm,UNCHANGED,Laburor,Labourer Farm
Laburorer,1,Laburorer,UNCHANGED,Laburorer,Labourer
Laburs,1,Laburs,UNCHANGED,Laburs,Labrus
Laburs Brick Layers,1,Laburs Brick Layers,UNCHANGED,Laburs,Labrus Brick Layers
Laburs Son,1,Laburs Son,UNCHANGED,Laburs,Labrus Son
Labury Spinning Mill,1,Labury Spinning Mill,UNCHANGED,Labury,Laury Spinning Mill
Labuurer,1,Labuurer,UNCHANGED,Labuurer,Labourer
Labyelor,1,Labyelor,UNCHANGED,Labyelor,Labeler
Labylor,1,Labylor,UNCHANGED,Labylor,Taylor
Labyour,1,Labyour,UNCHANGED,Labyour,Labour
Lacdor Mariner,1,Lacdor Mariner,UNCHANGED,Lacdor,Ador Mariner
Lace Crotcher,1,Lace Crotcher,UNCHANGED,Crotcher,Lace Crutcher
Lace Crotheir,1,Lace Crotheir,UNCHANGED,Crotheir,Lace Coheir
Lace Dawer,1,Lace Dawer,UNCHANGED,Dawer,Lace Tawer
Lace Exbert,1,Lace Exbert,UNCHANGED,Exbert,Lace Exert
Lace Mak,1,Lace Mak,UNCHANGED,Mak,Lace Zak
Lace Marck,1,Lace Marck,UNCHANGED,Marck,Lace Marc
Lace Runiter,1,Lace Runiter,UNCHANGED,Runiter,Lace Reuniter
Lace Schoolr,1,Lace Schoolr,UNCHANGED,Schoolr,Lace Schools
Lace Teachress,1,Lace Teachress,UNCHANGED,Teachress,Lace Teacheress
Lacehand,1,Lacehand,UNCHANGED,Lacehand,Lakeland
Lacemakers Farmer,1,Lacemakers Farmer,UNCHANGED,Lacemakers,Pacemakers Farmer
Lach Car Driver Carman,1,Lach Car Driver Carman,UNCHANGED,Lach,Lech Car Driver Carman
Lach Labourer,1,Lach Labourer,UNCHANGED,Lach,Lech Labourer
Lachnery Car Driver,1,Lachnery Car Driver,UNCHANGED,Lachnery,Lathery Car Driver
Lacke Worker,1,Lacke Worker,UNCHANGED,Lacke,Lacks Worker
Lackler,1,Lackler,UNCHANGED,Lackler,Cackler
Lackney car owne,1,Lackney car owne,UNCHANGED,Lackney; owne,Hackney car One
Lacmaker,1,Lacmaker,UNCHANGED,Lacmaker,Lacemaker
Lacstonest,1,Lacstonest,UNCHANGED,Lacstonest,Lactones
Lad Lemingon,1,Lad Lemingon,UNCHANGED,Lemingon,Lad Lamington
Laddle,1,Laddle,UNCHANGED,Laddle,Waddle
Laddlery,1,Laddlery,UNCHANGED,Laddlery,Saddlery
Ladees Costminer,1,Ladees Costminer,UNCHANGED,Ladees; Costminer,Laders Container
Ladey Nurse,1,Ladey Nurse,UNCHANGED,Ladey,Lakey Nurse
Ladey's Nurse Mid Wife,1,Ladey's Nurse Mid Wife,UNCHANGED,Ladey's,Lakey's Nurse Mid Wife
Ladger Farm Labourer,1,Ladger Farm Labourer,UNCHANGED,Ladger,Gadger Farm Labourer
"Ladger, Night only",1,"Ladger, Night only",UNCHANGED,Ladger,"Gadger, Night only"
Ladie in Charge Soldier Home,1,Ladie in Charge Soldier Home,UNCHANGED,Ladie,Sadie in Charge Soldier Home
Ladie Maid Domestic Servant,1,Ladie Maid Domestic Servant,UNCHANGED,Ladie,Sadie Maid Domestic Servant
Ladie Out Fitter,1,Ladie Out Fitter,UNCHANGED,Ladie,Sadie Out Fitter
Ladie's Companion,1,Ladie's Companion,UNCHANGED,Ladie's,Sadie's Companion
Ladie's Hkf Cutter,1,Ladie's Hkf Cutter,UNCHANGED,Ladie's; Hkf,Sadie's Hf Cutter
Ladie's Maid (Domestic),1,Ladie's Maid Domestic,NORMALIZATION,Ladie's,Sadie's Maid Domestic
Ladie's Nurse Qualifid,1,Ladie's Nurse Qualifid,UNCHANGED,Ladie's; Qualifid,Sadie's Nurse Qualified
Ladie's Shirt Maker,1,Ladie's Shirt Maker,UNCHANGED,Ladie's,Sadie's Shirt Maker
Ladie's Tailor,1,Ladie's Tailor,UNCHANGED,Ladie's,Sadie's Tailor
Ladie's Underclothing Factory Manager,1,Ladie's Underclothing Factory Manager,UNCHANGED,Ladie's,Sadie's Underclothing Factory Manager
Ladies Assistant (District Mistreys),1,Ladies Assistant District Mistreys,NORMALIZATION,Mistreys,Ladies Assistant District Mistress
Ladies Catters and Fitter,1,Ladies Catters and Fitter,UNCHANGED,Catters,Ladies Scatters and Fitter
Ladies Compan,1,Ladies Compan,UNCHANGED,Compan,Ladies Compaa
Ladies Companian,1,Ladies Companian,UNCHANGED,Companian,Ladies Campanian
Ladies Derissing In Course,1,Ladies Derissing In Course,UNCHANGED,Derissing,Ladies Debussing In Course
Ladies Dressgoods Buyer,1,Ladies Dressgoods Buyer,UNCHANGED,Dressgoods,Ladies Dressgoods Buyer
Ladies Maid D.S,1,Ladies Maid D.S,UNCHANGED,D.S,Ladies Maid Dys
Ladies Maid D.S.,1,Ladies Maid D.S.,UNCHANGED,D.S,Ladies Maid Dys.
Ladies Maid Domestick,1,Ladies Maid Domestick,UNCHANGED,Domestick,Ladies Maid Domestics
Ladies Merstender,1,Ladies Merstender,UNCHANGED,Merstender,Ladies Merstender
Ladies Nurce,1,Ladies Nurce,UNCHANGED,Nurce,Ladies Nunce
Ladies Nursatends,1,Ladies Nursatends,UNCHANGED,Nursatends,Ladies Nursatends
Ladies Nurse Tendir,1,Ladies Nurse Tendir,UNCHANGED,Tendir,Ladies Nurse Tender
Ladies Nursetinder,1,Ladies Nursetinder,UNCHANGED,Nursetinder,Ladies Nursetender
Ladies Shirt Machinest,1,Ladies Shirt Machinest,UNCHANGED,Machinest,Ladies Shirt Machinist
Ladies Shirt Manfacter,1,Ladies Shirt Manfacter,UNCHANGED,Manfacter,Ladies Shirt Manufactor
Ladies tailering,1,Ladies tailering,UNCHANGED,tailering,Ladies Trailering
Ladies Tailores,1,Ladies Tailores,UNCHANGED,Tailores,Ladies Tailoress
Ladies Tailoroe,1,Ladies Tailoroe,UNCHANGED,Tailoroe,Ladies Tailors
Ladies Tailourers,1,Ladies Tailourers,UNCHANGED,Tailourers,Ladies Tailoress
Ladies Talior,1,Ladies Talior,UNCHANGED,Talior,Ladies Talio
Ladies' Nurse,1,Ladies' Nurse,UNCHANGED,Ladies',Sadies' Nurse
Ladies' Nursetender,1,Ladies' Nursetender,UNCHANGED,Ladies',Sadies' Nursetender
Ladies' Outfitter,1,Ladies' Outfitter,UNCHANGED,Ladies',Sadies' Outfitter
"Ladies, Derwing",1,"Ladies, Derwing",UNCHANGED,Derwing,"Ladies, Derning"
Ladiesmaid Domestic,1,Ladiesmaid Domestic,UNCHANGED,Ladiesmaid,Ladiesmaid Domestic
Ladis Maid D Servant,1,Ladis Maid D Servant,UNCHANGED,Ladis,Cadis Maid D Servant
Ladis Out Fitter,1,Ladis Out Fitter,UNCHANGED,Ladis,Cadis Out Fitter
Ladis Tailoress,1,Ladis Tailoress,UNCHANGED,Ladis,Cadis Tailoress
Ladiy's Nurse,1,Ladiy's Nurse,UNCHANGED,Ladiy's,Ladik's Nurse
Ladlier,1,Ladlier,UNCHANGED,Ladlier,Ladler
Ladour (Paver),1,Ladour Paver,NORMALIZATION,Ladour,Labour Paver
Ladour Unploud,1,Ladour Unploud,UNCHANGED,Ladour; Unploud,Labour Unaloud
Ladss Nurse,1,Ladss Nurse,UNCHANGED,Ladss,Lads Nurse
Lady (Retired Materon,1,Lady Retired Materon,NORMALIZATION,Materon,Lady Retired Matron
Lady Annity,1,Lady Annity,UNCHANGED,Annity,Lady Annite
Lady Berness Means Derived from Land,1,Lady Berness Means Derived from Land,UNCHANGED,Berness,Lady Bernese Means Derived from Land
Lady Cleark,1,Lady Cleark,UNCHANGED,Cleark,Lady Clark
Lady Clerk (Confectionery) Manufactary,1,Lady Clerk Confectionery Manufactary,NORMALIZATION,Manufactary,Lady Clerk Confectionery Manufactory
Lady Clerk Advertisment Officer,1,Lady Clerk Advertisment Officer,UNCHANGED,Advertisment,Lady Clerk Advertisement Officer
Lady Clerk in Flechers Shop,1,Lady Clerk in Flechers Shop,UNCHANGED,Flechers,Lady Clerk in Fletchers Shop
Lady Clerke,1,Lady Clerke,UNCHANGED,Clerke,Lady Clerked
Lady Clonbrack P. L. G. District Councillor,1,Lady Clonbrack P. L. G. District Councillor,UNCHANGED,Clonbrack,Lady Clonbrack P. L. G. District Councillor
Lady Dereving Income From Houses and Dividends,1,Lady Dereving Income From Houses and Dividends,UNCHANGED,Dereving,Lady Deriving Income From Houses and Dividends
Lady devidend,1,Lady devidend,UNCHANGED,devidend,Lady Dividend
Lady Drowing her Income From Interest on Money,1,Lady Drowing her Income From Interest on Money,UNCHANGED,Drowing,Lady Dowing her Income From Interest on Money
Lady Eva Forbes,1,Lady Eva Forbes,UNCHANGED,Forbes,Lady Eva Fortes
Lady Houskeeper,1,Lady Houskeeper,UNCHANGED,Houskeeper,Lady Housekeeper
Lady Income divided from Con?ls,1,Lady Income divided from Con?ls,UNCHANGED,Con?ls,Lady Income divided from cones
Lady Independint,1,Lady Independint,UNCHANGED,Independint,Lady Independent
Lady Inmutirent,1,Lady Inmutirent,UNCHANGED,Inmutirent,Lady Innutrient
Lady Inpr,1,Lady Inpr,UNCHANGED,Inpr,Lady Incr
Lady Jointime from Land,1,Lady Jointime from Land,UNCHANGED,Jointime,Lady Jointage from Land
Lady Living on Income from Property Attendents and C,1,Lady Living on Income from Property Attendents and C,UNCHANGED,Attendents,Lady Living on Income from Property Attendants and C
Lady Living Privately Intrest on Money Invester,1,Lady Living Privately Intrest on Money Invester,UNCHANGED,Intrest; Invester,Lady Living Privately Intreat on Money Infester
Lady Long on Annuily,1,Lady Long on Annuily,UNCHANGED,Annuily,Lady Long on Annuity
Lady M?stender,1,Lady M?stender,UNCHANGED,M?stender,Lady misrender
Lady Maid Dometic Servt,1,Lady Maid Dometic Servant,ABBREVIATION,Dometic,Lady Maid Docetic Servant
Lady Maid Unempolyed,1,Lady Maid Unempolyed,UNCHANGED,Unempolyed,Lady Maid Unemployed
Lady Maurice Fitzgerald,1,Lady Maurice Fitzgerald,UNCHANGED,Fitzgerald,Lady Maurice Fitzgerald
Lady no occupat,1,Lady no occupat,UNCHANGED,occupat,Lady no Occupant
Lady no Proffession Annuities,1,Lady no Proffession Annuities,UNCHANGED,Proffession,Lady no Profession Annuities
Lady of Indepenant Meard,1,Lady of Indepenant Meard,UNCHANGED,Indepenant; Meard,Lady of Independent Beard
Lady Raniste,1,Lady Raniste,UNCHANGED,Raniste,Lady Racists
Lady Residant-Alexander Colly's,1,Lady Residant Alexander Colly's,NORMALIZATION,Residant,Lady Resident Alexander Colly's
Lady Scrapt music School,1,Lady Scrapt music School,UNCHANGED,Scrapt,Lady Scrap music School
Lady Superentendant of the Governesses Home,1,Lady Superentendant of the Governesses Home,UNCHANGED,Superentendant,Lady Superintendant of the Governesses Home
Lady Superindendent,1,Lady Superindendent,UNCHANGED,Superindendent,Lady Superintendent
Lady Superintant of Soldiers House,1,Lady Superintant of Soldiers House,UNCHANGED,Superintant,Lady Supernatant of Soldiers House
Lady Superintedent,1,Lady Superintedent,UNCHANGED,Superintedent,Lady Superintendent
Lady Superintende,1,Lady Superintende,UNCHANGED,Superintende,Lady Superintended
Lady Superintendent of Sligo County Hospital,1,Lady Superintendent of Sligo County Hospital,UNCHANGED,Sligo,Lady Superintendent of Slik County Hospital
Lady Superintendent of St Columba's Indl School Kelly Bugs,1,Lady Superintendent of St Columba's Indl School Kelly Bugs,UNCHANGED,Indl,Lady Superintendent of St Columba's Indyl School Kelly Bugs
Lady Superintendert,1,Lady Superintendert,UNCHANGED,Superintendert,Lady Superintender
Lady Superrisor Sisterinlaw,1,Lady Superrisor Sisterinlaw,UNCHANGED,Superrisor; Sisterinlaw,Lady Supervisor Sisterinlaw
Lady Supreintendent,1,Lady Supreintendent,UNCHANGED,Supreintendent,Lady Superintendent
Lady Supt of Royal Irish Acadamy of Music,1,Lady Supt of Royal Irish Acadamy of Music,UNCHANGED,Acadamy,Lady Supt of Royal Irish Academy of Music
Lady Supt of the City of Dublin Nursiery Inst,1,Lady Supt of the City of Dublin Nursiery Inst,UNCHANGED,Nursiery,Lady Supt of the City of Dublin Nursery Inst
Lady Sybil Tollemache,1,Lady Sybil Tollemache,UNCHANGED,Tollemache,Lady Sybil Tollemache
Lady Taloress,1,Lady Taloress,UNCHANGED,Taloress,Lady Tailoress
