occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
P.O. Assistant,35,P.O. Assistant,UNCHANGED,P.O,Po. Assistant
Parlourmaid Domestic,35,Parlourmaid Domestic,UNCHANGED,Parlourmaid,Parlormaid Domestic
Shepard,35,Shepard,UNCHANGED,Shepard,Sheard
Teacher N.S,35,Teacher N.S,UNCHANGED,N.S,Teacher Ns
Compositer,34,Compositer,UNCHANGED,Compositer,Composites
Cotten Weaver,34,Cotten Weaver,UNCHANGED,Cotten,Cotted Weaver
Farmer's Daug,34,Farmer's Daug,UNCHANGED,Daug,Farmer's Darg
Labourer Agl.,34,Labourer Agl.,UNCHANGED,Agl,Labourer Aga.
Linenlapper,34,Linenlapper,UNCHANGED,Linenlapper,Linenlapper
Messinger,34,Messinger,UNCHANGED,Messinger,Messenger
Scolour,34,Scolour,UNCHANGED,Scolour,Colour
Seamstrees,34,Seamstrees,UNCHANGED,Seamstrees,Seamstress
Talior,34,Talior,UNCHANGED,Talior,Talio
At Scool,33,At Scool,UNCHANGED,Scool,At Snool
Childs Maid,33,Childs Maid,UNCHANGED,Childs,Chields Maid
Cook Domestic Svt,33,Cook Domestic Svt,UNCHANGED,Svt,Cook Domestic Vt
Ex Sergt R.I.C,33,Ex Sergt R.I.C,UNCHANGED,R.I.C,Ex Sergt Ric
House Keepper,33,House Keepper,UNCHANGED,Keepper,House Keeper
Labouer General,33,Labouer General,UNCHANGED,Labouer,Labourer General
Linnen Spinner,33,Linnen Spinner,UNCHANGED,Linnen,Linten Spinner
Seimstress,33,Seimstress,UNCHANGED,Seimstress,Seamstress
Asistant,32,Asistant,UNCHANGED,Asistant,Assistant
Brewry Labourer,32,Brewry Labourer,UNCHANGED,Brewry,Brewery Labourer
Carpentor,32,Carpentor,UNCHANGED,Carpentor,Carpenter
Cattledealer,32,Cattledealer,UNCHANGED,Cattledealer,Cattledealer
Commerical Clerk,32,Commerical Clerk,UNCHANGED,Commerical,Commercial Clerk
Commision Agent,32,Commision Agent,UNCHANGED,Commision,Commission Agent
Farme's Son,32,Farme's Son,UNCHANGED,Farme's,Fame's Son
Farmlabourer,32,Farmlabourer,UNCHANGED,Farmlabourer,Farmlabourer
General Laburer,32,General Laburer,UNCHANGED,Laburer,General Labourer
General Servant Domst,32,General Servant Domst,UNCHANGED,Domst,General Servant Doms
Shop Assitant,32,Shop Assitant,UNCHANGED,Assitant,Shop Assistant
Tailores,32,Tailores,UNCHANGED,Tailores,Tailoress
Domestic Sevt,31,Domestic Sevt,UNCHANGED,Sevt,Domestic Seve
Farme,31,Farme,UNCHANGED,Farme,Fame
N.S Teacher,31,N.S Teacher,UNCHANGED,N.S,Ns Teacher
Printer Compositer,31,Printer Compositer,UNCHANGED,Compositer,Printer Composites
Scolor,31,Scolor,UNCHANGED,Scolor,Scolog
Shcolar,31,Shcolar,UNCHANGED,Shcolar,Scholar
Spiner,31,Spiner,UNCHANGED,Spiner,Spiler
