occupation,count,corrected_occupation,change_category
Groom-Domestic Servant,111,Groom Domestic Servant,NORMALIZATION
Herds Wife,111,Herd's Wife,DICT_LOOKUP
Dom Servant,110,Domestic Servant,DICT_LOOKUP
Retired House Keeper,110,Retired Housekeeper,DICT_LOOKUP
School-Boy,110,School Boy,NORMALIZATION
Labourer Agr,109,Agricultural Labourer,DICT_LOOKUP
Farm-Labourer,108,Farm Labourer,NORMALIZATION
Retired Shop Keeper,108,Retired Shopkeeper,DICT_LOOKUP
Pensioner R.I.C.,107,R.I.C. Pensioner,DICT_LOOKUP
House Maid-Domestic Servant,106,House Maid Domestic Servant,NORMALIZATION
Time Keeper,105,Timekeeper,DICT_LOOKUP
Butchers Porter,104,Butcher's Porter,DICT_LOOKUP
Drapers Porter,104,Draper's Porter,DICT_LOOKUP
Gardener Domestic Servt,104,Gardener Domestic Servant,DICT_LOOKUP
Maid-Domestic Servant,104,Maid Domestic Servant,NORMALIZATION
R.C. Clergyman,104,Roman Catholic Clergyman,DICT_LOOKUP
Labourer Brewery,103,Brewery Labourer,DICT_LOOKUP
Domestic Servant-General,102,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Labourer Ship Yard,102,Ship Yard Labourer,DICT_LOOKUP
Agriculural Labourer,101,Agricultural Labourer,DICT_LOOKUP
Labouring,101,Labourer,DICT_LOOKUP
Carpinter,100,Carpenter,DICT_LOOKUP
Ag. Labourer,98,Agricultural Labourer,DICT_LOOKUP
Genl. Servant Domestic,98,General Domestic Servant,DICT_LOOKUP
Domestic Servant (Cook),97,Cook Domestic Servant,DICT_LOOKUP; NORMALIZATION
Car-Driver,96,Car Driver,NORMALIZATION
Clerk Railway,96,Railway Clerk,DICT_LOOKUP
Weaver-Linen,95,Linen Weaver,DICT_LOOKUP; NORMALIZATION
General Servt,94,General Servant,DICT_LOOKUP
Post-Man,94,Postman,DICT_LOOKUP; NORMALIZATION
Drapers Clerk,93,Draper's Clerk,DICT_LOOKUP
Genl Laborer,93,General Labourer,DICT_LOOKUP
General Laberour,91,General Labourer,DICT_LOOKUP
Mill-Worker,91,Mill Worker,NORMALIZATION
Seamestress,91,Seamstress,DICT_LOOKUP
Domestic Servant-Cook,90,Cook Domestic Servant,DICT_LOOKUP; NORMALIZATION
R C Clergyman,90,Roman Catholic Clergyman,DICT_LOOKUP
Carpenters Apprentice,89,Carpenter's Apprentice,DICT_LOOKUP
Farmers Son in Law,89,Farmer's Son in Law,DICT_LOOKUP
Builder Labourer,88,Builder's Labourer,DICT_LOOKUP
General-Labourer,88,General Labourer,NORMALIZATION
Carpenter-Master,87,Carpenter Master,NORMALIZATION
Carpenters Wife,87,Carpenter's Wife,DICT_LOOKUP
Domestick Servant,86,Domestic Servant,DICT_LOOKUP
Nurse - Domestic Servant,86,Nurse Domestic Servant,NORMALIZATION
National S Teacher,84,National School Teacher,DICT_LOOKUP
Seamsteress,84,Seamstress,DICT_LOOKUP
Gen Servant,83,General Servant,DICT_LOOKUP
Genl Domestic Servant,83,General Domestic Servant,DICT_LOOKUP
Shepherds Wife,82,Shepherd's Wife,DICT_LOOKUP
Labourers Widow,80,Labourer's Widow,DICT_LOOKUP
Carpenters Daughter,78,Carpenter's Daughter,DICT_LOOKUP
Cartpenter,78,Carpenter,DICT_LOOKUP
Farmer (Retired),78,Farmer Retired,NORMALIZATION
Farmers Assistant,78,Farmer's Assistant,DICT_LOOKUP
Scollor,77,Scholar,DICT_LOOKUP
Carpentar,76,Carpenter,DICT_LOOKUP
Stone-Cutter,76,Stone Cutter,NORMALIZATION
Domestic-Servant,75,Domestic Servant,DICT_LOOKUP; NORMALIZATION
Parlour Maid-Domestic Servant,75,Parlour Maid Domestic Servant,NORMALIZATION
General Labrour,74,General Labourer,DICT_LOOKUP
Publicans Daughter,74,Publican's Daughter,DICT_LOOKUP
School-Girl,74,School Girl,NORMALIZATION
Cook (Domestic Servant),73,Cook Domestic Servant,NORMALIZATION
Farmers daughter,72,Farmer's Daughter,DICT_LOOKUP
Housekeeper-Domestic Servant,70,Housekeeper Domestic Servant,NORMALIZATION
Shollar,70,Scholar,DICT_LOOKUP
Winder (Linen),69,Winder Linen,NORMALIZATION
House wife,68,Housewife,DICT_LOOKUP
Mill Wright,68,Millwright,DICT_LOOKUP
Sclolar,67,Scholar,DICT_LOOKUP
Bar-Maid,66,Barmaid,DICT_LOOKUP; NORMALIZATION
Dairymans Daughter,66,Dairyman's Daughter,DICT_LOOKUP
Housemaid-Domestic,66,Housemaid Domestic,NORMALIZATION
Labourer (Gen),66,General Labourer,DICT_LOOKUP; NORMALIZATION
Agricutural Labourer,65,Agricultural Labourer,DICT_LOOKUP
Post Master,64,Postmaster,DICT_LOOKUP
School-Teacher,63,School Teacher,NORMALIZATION
Scoholar,63,Scholar,DICT_LOOKUP
Cattle-Dealer,62,Cattle Dealer,NORMALIZATION
Domestic Servent,62,Domestic Servant,DICT_LOOKUP
Carpender,61,Carpenter,DICT_LOOKUP
Carpenters Son,61,Carpenter's Son,DICT_LOOKUP
Clerke,61,Clerk,DICT_LOOKUP
Laborer General,61,General Labourer,DICT_LOOKUP
Labourer (Genl),61,Labourer Genl,NORMALIZATION
Scholare,61,Scholar,DICT_LOOKUP
Agricultural Labor,60,Agricultural Labourer,DICT_LOOKUP
Labourer-Farm,60,Farm Labourer,DICT_LOOKUP; NORMALIZATION
Reeler (Linen),60,Reeler Linen,NORMALIZATION
Shirt-Maker,60,Shirt Maker,NORMALIZATION
Agricultural Laberour,59,Agricultural Labourer,DICT_LOOKUP
Dairymans Son,59,Dairyman's Son,DICT_LOOKUP
General Laborour,59,General Labourer,DICT_LOOKUP
Genl Servant-Domestic,59,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Stone-Mason,59,Stonemason,DICT_LOOKUP; NORMALIZATION
Domest Servant,58,Domestic Servant,DICT_LOOKUP
Domestic House-Keeper,58,Domestic Housekeeper,DICT_LOOKUP; NORMALIZATION
Farmer son,58,Farmer's Son,DICT_LOOKUP
General Servent,58,General Servant,DICT_LOOKUP
Publicans Son,58,Publican's Son,DICT_LOOKUP
Scholour,58,Scholar,DICT_LOOKUP
Labourer (Agrl),57,Labourer Agrl,NORMALIZATION
Labourer-Agricultural,57,Agricultural Labourer,DICT_LOOKUP; NORMALIZATION
Plumer,57,Plumber,DICT_LOOKUP
Servant (Farm),57,Servant Farm,NORMALIZATION
Spinner (Linen),57,Spinner Linen,NORMALIZATION
Tailors Wife,57,Tailor's Wife,DICT_LOOKUP
Cleark,56,Clerk,DICT_LOOKUP
Farmers' Son,56,Farmer's Son,DICT_LOOKUP
House Keeper-Domestic Servant,56,House Keeper Domestic Servant,NORMALIZATION
House-Maid,56,Housemaid,DICT_LOOKUP; NORMALIZATION
Machineist,56,Machinist,DICT_LOOKUP
Butchers Assistant,55,Butcher's Assistant,DICT_LOOKUP
Farm Servant-Domestic,55,Farm Servant Domestic,NORMALIZATION
Housekeeper-Domestic,55,Housekeeper Domestic,NORMALIZATION
Genral Labourer,54,General Labourer,DICT_LOOKUP
Labourer Railway,54,Railway Labourer,DICT_LOOKUP
Spinner (Flax),54,Spinner Flax,NORMALIZATION
At Chool,53,At School,DICT_LOOKUP
Clarke,53,Clerk,DICT_LOOKUP
Farm Serveant,53,Farm Servant,DICT_LOOKUP
Gardner Domestic,53,Gardener Domestic,DICT_LOOKUP
Schlar,53,Scholar,DICT_LOOKUP
Servant (General),53,Servant General,NORMALIZATION
Farmer-Son,52,Farmer's Son,DICT_LOOKUP; NORMALIZATION
Labrourer,52,Labourer,DICT_LOOKUP
Tailor-Master,52,Master Tailor,DICT_LOOKUP; NORMALIZATION
Cabinet-Maker,51,Cabinetmaker,DICT_LOOKUP; NORMALIZATION
Carpanter,51,Carpenter,DICT_LOOKUP
Childrens Nurse,51,Children's Nurse,DICT_LOOKUP
Domestic servant,51,Domestic Servant,DICT_LOOKUP
Market Gardner,51,Market Gardener,DICT_LOOKUP
Agricultur Labourer,50,Agricultural Labourer,DICT_LOOKUP
Aprentice,50,Apprentice,DICT_LOOKUP
Brick Maker,50,Brickmaker,DICT_LOOKUP
Famers Son,50,Farmer's Son,DICT_LOOKUP
Farme Servant,50,Farm Servant,DICT_LOOKUP
Schalor,50,Scholar,DICT_LOOKUP
Shool,50,Scholar,DICT_LOOKUP
Clerkess,49,Clerk,DICT_LOOKUP
Dress - Maker,49,Dressmaker,DICT_LOOKUP; NORMALIZATION
Genrl Labourer,49,General Labourer,DICT_LOOKUP
Huse Keeper,49,Housekeeper,DICT_LOOKUP
Iron Monger,49,Ironmonger,DICT_LOOKUP
Miliner,49,Milliner,DICT_LOOKUP
Scholl,49,Scholar,DICT_LOOKUP
Seanstress,49,Seamstress,DICT_LOOKUP
Serveant,49,Servant,DICT_LOOKUP
Spinner-Linen,49,Spinner Linen,NORMALIZATION
Butler-Domestic Servant,48,Butler Domestic Servant,NORMALIZATION
House Keeper-Domestic,48,House Keeper Domestic,NORMALIZATION
Lace-Maker,48,Lacemaker,DICT_LOOKUP; NORMALIZATION
Laundres,48,Laundress,DICT_LOOKUP
Nurse-Domestic Servt,48,Nurse Domestic Servant,DICT_LOOKUP; NORMALIZATION
Sailors Wife,48,Sailor's Wife,DICT_LOOKUP
Shomaker,48,Shoemaker,DICT_LOOKUP
Cabnet Maker,47,Cabinetmaker,DICT_LOOKUP
Childrens Maid,47,Children's Maid,DICT_LOOKUP
Dairy-Maid,47,Dairy Maid,NORMALIZATION
Millner,47,Milliner,DICT_LOOKUP
Religious (Sister of Mercy),47,Religious Sister of Mercy,NORMALIZATION
Farmeress Son,46,Farmeress's Son,DICT_LOOKUP
