occupation,count,corrected_occupation,change_category
Clerk (Ship Yard),1,Clerk Ship Yard,NORMALIZATION
Clerk (Shiping),1,Clerk Shiping,NORMALIZATION
Clerk (Shippard),1,Clerk Shippard,NORMALIZATION
Clerk (Shipping Co),1,Clerk Shipping Co,NORMALIZATION
Clerk (Shipping Trade),1,Clerk Shipping Trade,NORMALIZATION
Clerk (Shippiry),1,Clerk Shippiry,NORMALIZATION
Clerk (Shipyan),1,Clerk Shipyan,NORMALIZATION
Clerk (Shipyard),1,Clerk Shipyard,NORMALIZATION
Clerk (Singer's Sewing Machine Co ),1,Clerk Singer's Sewing Machine Co,NORMALIZATION
Clerk (Soap Makers),1,Clerk Soap Makers,NORMALIZATION
Clerk (Soap Works),1,Clerk Soap Works,NORMALIZATION
Clerk (Sol),1,Clerk Sol,NORMALIZATION
Clerk (sol),1,Clerk sol,NORMALIZATION
Clerk (Solicitors general),1,Clerk Solicitors general,NORMALIZATION
Clerk (Solicitors General),1,Clerk Solicitors General,NORMALIZATION
Clerk (Solicitors Managing (Clerk),1,Clerk Solicitors Managing Clerk,NORMALIZATION
Clerk (Solr),1,Clerk Solr,NORMALIZATION
Clerk (South Africa) Kaffier Store,1,Clerk South Africa Kaffier Store,NORMALIZATION
Clerk (Spirit Grocer),1,Clerk Spirit Grocer,NORMALIZATION
Clerk (Spirit),1,Clerk Spirit,NORMALIZATION
Clerk (Stationary),1,Clerk Stationary,NORMALIZATION
Clerk (Stationer),1,Clerk Stationer,NORMALIZATION
Clerk (Stationers),1,Clerk Stationers,NORMALIZATION
Clerk (Steam Ship Co,1,Clerk Steam Ship Co,NORMALIZATION
Clerk (Stock Brocker),1,Clerk Stock Brocker,NORMALIZATION
Clerk (Stock Brokers),1,Clerk Stock Brokers,NORMALIZATION
Clerk (Store Manager),1,Clerk Store Manager,NORMALIZATION
Clerk (Sunlight Co),1,Clerk Sunlight Co,NORMALIZATION
Clerk (Surveyors),1,Clerk Surveyors,NORMALIZATION
Clerk (Tailoring),1,Clerk Tailoring,NORMALIZATION
Clerk (Tainting Trade),1,Clerk Tainting Trade,NORMALIZATION
Clerk (Tea Company),1,Clerk Tea Company,NORMALIZATION
Clerk (Tea Trade),1,Clerk Tea Trade,NORMALIZATION
Clerk (Telephone Coy),1,Clerk Telephone Coy,NORMALIZATION
Clerk (Tember Trade),1,Clerk Tember Trade,NORMALIZATION
Clerk (Timber Merchant),1,Clerk Timber Merchant,NORMALIZATION
Clerk (to Clerk of Union),1,Clerk to Clerk of Union,NORMALIZATION
Clerk (Tram Industry),1,Clerk Tram Industry,NORMALIZATION
Clerk (Tram-Company),1,Clerk Tram Company,NORMALIZATION
Clerk (Trans),1,Clerk Trans,NORMALIZATION
Clerk (Type Writer),1,Clerk Type Writer,NORMALIZATION
Clerk (Un Employed),1,Clerk Un Employed,NORMALIZATION
Clerk (Undertaker),1,Clerk Undertaker,NORMALIZATION
Clerk (Vetr),1,Clerk Vetr,NORMALIZATION
Clerk (Victuallr's),1,Clerk Victuallr's,NORMALIZATION
Clerk (Weaving of Factory),1,Clerk Weaving of Factory,NORMALIZATION
Clerk (Whiskey Company),1,Clerk Whiskey Company,NORMALIZATION
Clerk (Wholesale Hen's Agency),1,Clerk Wholesale Hen's Agency,NORMALIZATION
Clerk (Wholesale Leather),1,Clerk Wholesale Leather,NORMALIZATION
Clerk (Wholesale Spirit Trade),1,Clerk Wholesale Spirit Trade,NORMALIZATION
Clerk (Wine and Spirit Business),1,Clerk Wine and Spirit Business,NORMALIZATION
Clerk (Wine and Spirit),1,Clerk Wine and Spirit,NORMALIZATION
Clerk (Wine and Tea Merchant),1,Clerk Wine and Tea Merchant,NORMALIZATION
Clerk (Wine office),1,Clerk Wine office,NORMALIZATION
Clerk (Wine Trade),1,Clerk Wine Trade,NORMALIZATION
Clerk (Working) in Bleach Green,1,Clerk Working in Bleach Green,NORMALIZATION
Clerk (Works),1,Clerk Works,NORMALIZATION
Clerk (Writting),1,Clerk Writting,NORMALIZATION
Clerk (Yarn Mehnt),1,Clerk Yarn Mehnt,NORMALIZATION
Clerk - Accountant,1,Clerk Accountant,NORMALIZATION
Clerk - American Oil Company,1,Clerk American Oil Company,NORMALIZATION
Clerk - Asst District Council and Balrothen Union,1,Clerk Asst District Council and Balrothen Union,NORMALIZATION
Clerk - Bakery,1,Clerk Bakery,NORMALIZATION
Clerk - Bookkeeper,1,Clerk Bookkeeper,NORMALIZATION
Clerk - Brewery,1,Clerk Brewery,NORMALIZATION
Clerk - Builders,1,Clerk Builders,NORMALIZATION
Clerk - Civil Service - Higher Division - (Local Govt Office) BA University of Dublin,1,Clerk Civil Service Higher Division Local Govt Office BA University of Dublin,NORMALIZATION
Clerk - Coal Trade,1,Clerk Coal Trade,NORMALIZATION
Clerk - Coal Yard,1,Clerk Coal Yard,NORMALIZATION
Clerk - Com Borkers Office,1,Clerk Com Borkers Office,NORMALIZATION
Clerk - Comercl,1,Clerk Comercl,NORMALIZATION
Clerk - Commercial Drapery,1,Clerk Commercial Drapery,NORMALIZATION
Clerk - Corn Merchant,1,Clerk Corn Merchant,NORMALIZATION
Clerk - Drapers,1,Clerk Drapers,NORMALIZATION
Clerk - Fishmonger,1,Clerk Fishmonger,NORMALIZATION
Clerk - Flax Spinning Mill Unemployed,1,Clerk Flax Spinning Mill Unemployed,NORMALIZATION
Clerk - Furniture Warehouse,1,Clerk Furniture Warehouse,NORMALIZATION
Clerk - G.P.O,1,Clerk G.P.O,NORMALIZATION
Clerk - House and Land Agency,1,Clerk House and Land Agency,NORMALIZATION
Clerk - in Mineral Water Company,1,Clerk in Mineral Water Company,NORMALIZATION
Clerk - Income Tax Dept,1,Clerk Income Tax Dept,NORMALIZATION
Clerk - Ironworks,1,Clerk Ironworks,NORMALIZATION
Clerk - Law,1,Clerk Law,NORMALIZATION
Clerk - Linen Factory,1,Clerk Linen Factory,NORMALIZATION
Clerk - Linen Warehouse,1,Clerk Linen Warehouse,NORMALIZATION
Clerk - Linen Warhouse,1,Clerk Linen Warhouse,NORMALIZATION
Clerk - Merchants,1,Clerk Merchants,NORMALIZATION
Clerk - of - Works (Unemployed),1,Clerk of Works Unemployed,NORMALIZATION
Clerk - Office of Official Assignee Local Bankruptey Court,1,Clerk Office of Official Assignee Local Bankruptey Court,NORMALIZATION
Clerk - Paper Manufacture,1,Clerk Paper Manufacture,NORMALIZATION
Clerk - Printing,1,Clerk Printing,NORMALIZATION
Clerk - Printing Office,1,Clerk Printing Office,NORMALIZATION
Clerk - Prisons Service,1,Clerk Prisons Service,NORMALIZATION
Clerk - Provision Merchant's,1,Clerk Provision Merchant's,NORMALIZATION
Clerk - Provisions,1,Clerk Provisions,NORMALIZATION
Clerk - Ra?,1,Clerk Ra?,NORMALIZATION
Clerk - Railway,1,Railway Clerk,DICT_LOOKUP; NORMALIZATION
Clerk - Railway Audit,1,Clerk Railway Audit,NORMALIZATION
Clerk - Railway Clearing House,1,Clerk Railway Clearing House,NORMALIZATION
Clerk - Sewing Machine Manufacturers,1,Clerk Sewing Machine Manufacturers,NORMALIZATION
Clerk - Ship - Chandler's,1,Clerk Ship Chandler's,NORMALIZATION
Clerk - Shipping,1,Clerk Shipping,NORMALIZATION
Clerk - Timber Yard,1,Clerk Timber Yard,NORMALIZATION
Clerk - Tourist Business,1,Clerk Tourist Business,NORMALIZATION
Clerk - Umbrella Manufactory,1,Clerk Umbrella Manufactory,NORMALIZATION
Clerk - Victuallers and Poulterer's,1,Clerk Victuallers and Poulterer's,NORMALIZATION
Clerk - Warehouse,1,Clerk Warehouse,NORMALIZATION
Clerk - Weaving Factory,1,Clerk Weaving Factory,NORMALIZATION
Clerk -(Auctioneers and Estate Agents),1,Clerk Auctioneers and Estate Agents,NORMALIZATION
Clerk and Bar-tender,1,Clerk and Bar tender,NORMALIZATION
Clerk and Book-Keeper,1,Clerk and Book Keeper,NORMALIZATION
Clerk and Book-Kpr,1,Clerk and Book Kpr,NORMALIZATION
Clerk and Corn-Buyer,1,Clerk and Corn Buyer,NORMALIZATION
Clerk at Iron-Works,1,Clerk at Iron Works,NORMALIZATION
Clerk at Railway-Bookstand,1,Clerk at Railway Bookstand,NORMALIZATION
Clerk at Spinning Mill (Linen),1,Clerk at Spinning Mill Linen,NORMALIZATION
Clerk Book-Keeper,1,Clerk Book Keeper,NORMALIZATION
Clerk Civil Service Retired (Letter Branch),1,Clerk Civil Service Retired Letter Branch,NORMALIZATION
Clerk Commercial (Coal),1,Clerk Commercial Coal,NORMALIZATION
Clerk Courthouse Green St Dublin (Crown Office),1,Clerk Courthouse Green St Dublin Crown Office,NORMALIZATION
Clerk Crons and Peace Co Kildare-Solicitor Land Agent,1,Clerk Crons and Peace Co Kildare Solicitor Land Agent,NORMALIZATION
Clerk Domestic-Servant,1,Clerk Domestic Servant,NORMALIZATION
Clerk EL (P O),1,Clerk EL P O,NORMALIZATION
Clerk Engineering Dept G.P.O Teacher (Electrical Engineering),1,Clerk Engineering Dept G.P.O Teacher Electrical Engineering,NORMALIZATION
Clerk G. P. O Cork (Society),1,Clerk G. P. O Cork Society,NORMALIZATION
Clerk House Furnishing (Unemployed),1,Clerk House Furnishing Unemployed,NORMALIZATION
Clerk in a Trust-Merchant Office,1,Clerk in a Trust Merchant Office,NORMALIZATION
Clerk in Civil Service General Prison's Service (Wiland),1,Clerk in Civil Service General Prison's Service Wiland,NORMALIZATION
Clerk in Co-Operative,1,Clerk in Co Operative,NORMALIZATION
Clerk in College (Retired Hd Consfe R.I.C,1,Clerk in College Retired Hd Consfe R.I.C,NORMALIZATION
Clerk in Distellery (Apprentice),1,Clerk in Distellery Apprentice,NORMALIZATION
Clerk in General (Unemployed),1,Clerk in General Unemployed,NORMALIZATION
Clerk in Hard-Ware Shop,1,Clerk in Hard Ware Shop,NORMALIZATION
Clerk in Holey Orders-Curate of Borten Town,1,Clerk in Holey Orders Curate of Borten Town,NORMALIZATION
Clerk in Holy Order (Curate),1,Clerk in Holy Order Curate,NORMALIZATION
Clerk in Holy Order (Presets) Church of Ireland,1,Clerk in Holy Order Presets Church of Ireland,NORMALIZATION
Clerk in Holy order-Dean of Achonry,1,Clerk in Holy order Dean of Achonry,NORMALIZATION
Clerk in Holy Orders (Ch of Ireland),1,Clerk in Holy Orders Ch of Ireland,NORMALIZATION
Clerk in Holy Orders (Curate of Westport),1,Clerk in Holy Orders Curate of Westport,NORMALIZATION
Clerk in Holy Orders (Curate),1,Clerk in Holy Orders Curate,NORMALIZATION
Clerk in Holy Orders (I.C),1,Clerk in Holy Orders I.C,NORMALIZATION
Clerk in Holy Orders (Incumbent),1,Clerk in Holy Orders Incumbent,NORMALIZATION
Clerk in Holy Orders (M.A.) Rector of Belmuller,1,Clerk in Holy Orders M.A. Rector of Belmuller,NORMALIZATION
Clerk in Holy Orders (Rector and Tullow),1,Clerk in Holy Orders Rector and Tullow,NORMALIZATION
Clerk in Holy Orders (Rector),1,Clerk in Holy Orders Rector,NORMALIZATION
Clerk in Holy Orders (Vicar),1,Clerk in Holy Orders Vicar,NORMALIZATION
Clerk in Holy Orders - Rector of the Parish,1,Clerk in Holy Orders Rector of the Parish,NORMALIZATION
Clerk in Holy Orders B.A: Trinity College (Dublin),1,Clerk in Holy Orders B.A: Trinity College Dublin,NORMALIZATION
"Clerk in Holy Orders Canon, DDK RD-Trimly Co Dublin",1,"Clerk in Holy Orders Canon, DDK RD Trimly Co Dublin",NORMALIZATION
Clerk in Holy Orders Curate-Assistant,1,Clerk in Holy Orders Curate Assistant,NORMALIZATION
Clerk in Holy Orders Dean of Armagh (Church of Ireland),1,Clerk in Holy Orders Dean of Armagh Church of Ireland,NORMALIZATION
Clerk in Holy Orders Rector of Stratford-on-Slaney,1,Clerk in Holy Orders Rector of Stratford on Slaney,NORMALIZATION
Clerk in Holy Orders-Dean of Derry,1,Clerk in Holy Orders Dean of Derry,NORMALIZATION
"Clerk in Holy Orders-Master of Arts Trinity College Dublin Curate-in-Charge, St Nicholas, Belfast",1,"Clerk in Holy Orders Master of Arts Trinity College Dublin Curate in Charge, St Nicholas, Belfast",NORMALIZATION
Clerk in Holy Orders-Rector M. A. T. C. D,1,Clerk in Holy Orders Rector M. A. T. C. D,NORMALIZATION
Clerk in Holy Orders-Rector of Army,1,Clerk in Holy Orders Rector of Army,NORMALIZATION
Clerk in Holy Orders. (Chaplian),1,Clerk in Holy Orders. Chaplian,NORMALIZATION
Clerk in Holy Orders. (Church of Ireland),1,Clerk in Holy Orders. Church of Ireland,NORMALIZATION
Clerk in Jamin Gate Brewery (Retired),1,Clerk in Jamin Gate Brewery Retired,NORMALIZATION
Clerk in Office-Turkish Bothy,1,Clerk in Office Turkish Bothy,NORMALIZATION
Clerk in Official Assigned Office (Bkptey),1,Clerk in Official Assigned Office Bkptey,NORMALIZATION
Clerk in Orders-B.D. Rector,1,Clerk in Orders B.D. Rector,NORMALIZATION
Clerk in Post - Office,1,Clerk in Post Office,NORMALIZATION
Clerk in R work (Despatch),1,Clerk in R work Despatch,NORMALIZATION
Clerk in Solicitors Office (Managing),1,Clerk in Solicitors Office Managing,NORMALIZATION
Clerk in the Orders MA-BD Vilar of White Church C of Ireland,1,Clerk in the Orders MA BD Vilar of White Church C of Ireland,NORMALIZATION
Clerk in Warehouse (Linen),1,Clerk in Warehouse Linen,NORMALIZATION
Clerk in Wine Business-Not Employed,1,Clerk in Wine Business Not Employed,NORMALIZATION
Clerk Inland Revenue (Takes Department),1,Clerk Inland Revenue Takes Department,NORMALIZATION
Clerk Not (Employed),1,Clerk Not Employed,NORMALIZATION
Clerk of Glenarm County of Petty Sessions and Sub-Postmaster of Glenarm,1,Clerk of Glenarm County of Petty Sessions and Sub Postmaster of Glenarm,NORMALIZATION
Clerk of Mullingar Petty-Session and Commessioner for Oath,1,Clerk of Mullingar Petty Session and Commessioner for Oath,NORMALIZATION
Clerk of Petty Sessions Battinamack-Drumlish Newtownforbs Commissioner of Oaths,1,Clerk of Petty Sessions Battinamack Drumlish Newtownforbs Commissioner of Oaths,NORMALIZATION
Clerk of Seat Kings Bench Division (Provate),1,Clerk of Seat Kings Bench Division Provate,NORMALIZATION
Clerk of the Markets-Belfast,1,Clerk of the Markets Belfast,NORMALIZATION
Clerk of Works (Building),1,Clerk of Works Building,NORMALIZATION
Clerk of Works (Public works),1,Clerk of Works Public works,NORMALIZATION
Clerk Office Coal-Merchant,1,Clerk Office Coal Merchant,NORMALIZATION
Clerk Ordance-Survoy Office,1,Clerk Ordance Survoy Office,NORMALIZATION
Clerk Post-Office,1,Post Office Clerk,DICT_LOOKUP; NORMALIZATION
Clerk Ship - Yard,1,Clerk Ship Yard,NORMALIZATION
Clerk Solicitors (Articled),1,Clerk Solicitors Articled,NORMALIZATION
Clerk Solicitors (General),1,Clerk Solicitors General,NORMALIZATION
Clerk Stock-broker,1,Clerk Stock broker,NORMALIZATION
Clerk T C D Library M A L L B (T C D),1,Clerk T C D Library M A L L B T C D,NORMALIZATION
Clerk to Brewery-Agent,1,Clerk to Brewery Agent,NORMALIZATION
Clerk to Buller (Merchant),1,Clerk to Buller Merchant,NORMALIZATION
Clerk to Co-Council,1,Clerk to Co Council,NORMALIZATION
Clerk to Com Hay and Pig (Factory),1,Clerk to Com Hay and Pig Factory,NORMALIZATION
Clerk to Spirit-Merchant,1,Clerk to Spirit Merchant,NORMALIZATION
Clerk Un-Employed,1,Clerk Un Employed,NORMALIZATION
Clerk Vice Chancellor's (Chambers Four Courts),1,Clerk Vice Chancellor's Chambers Four Courts,NORMALIZATION
Clerk Writer (Employed in Co Council Office),1,Clerk Writer Employed in Co Council Office,NORMALIZATION
Clerk(Distillery),1,ClerkDistillery,NORMALIZATION
"Clerk, (County Council)",1,"Clerk, County Council",NORMALIZATION
"Clerk, (Mercantile)",1,"Clerk, Mercantile",NORMALIZATION
"Clerk, (Railway)",1,"Clerk, Railway",NORMALIZATION
"Clerk, - Linen Warehouse",1,"Clerk, Linen Warehouse",NORMALIZATION
"Clerk, Ireland Revenue (Collector's Office)",1,"Clerk, Ireland Revenue Collector's Office",NORMALIZATION
Clerk- ally Man at Dock,1,Clerk ally Man at Dock,NORMALIZATION
Clerk- Bakery,1,Clerk Bakery,NORMALIZATION
Clerk-(in Lenion),1,Clerk in Lenion,NORMALIZATION
Clerk-A. Guinngs and Coy,1,Clerk A. Guinngs and Coy,NORMALIZATION
Clerk-Accountant,1,Clerk Accountant,NORMALIZATION
Clerk-Accountants Office General Post Office Dublin,1,Clerk Accountants Office General Post Office Dublin,NORMALIZATION
Clerk-Acct in Offices of Urban District Council Broy,1,Clerk Acct in Offices of Urban District Council Broy,NORMALIZATION
Clerk-Acct Office,1,Clerk Acct Office,NORMALIZATION
Clerk-Architect,1,Clerk Architect,NORMALIZATION
Clerk-Auctionars,1,Clerk Auctionars,NORMALIZATION
Clerk-Auctioneer,1,Clerk Auctioneer,NORMALIZATION
Clerk-Banker's,1,Clerk Banker's,NORMALIZATION
Clerk-Batter Factory,1,Clerk Batter Factory,NORMALIZATION
Clerk-Belfast School Attce Committee,1,Clerk Belfast School Attce Committee,NORMALIZATION
Clerk-Biscuit Factory,1,Clerk Biscuit Factory,NORMALIZATION
Clerk-Bleaching Dyeing and Finishing,1,Clerk Bleaching Dyeing and Finishing,NORMALIZATION
Clerk-Book Keeper in Flax Spg Mill,1,Clerk Book Keeper in Flax Spg Mill,NORMALIZATION
Clerk-Book-Keeper,1,Clerk Book Keeper,NORMALIZATION
Clerk-Bookmaker,1,Clerk Bookmaker,NORMALIZATION
Clerk-Booksellers,1,Clerk Booksellers,NORMALIZATION
Clerk-Brewery Store,1,Clerk Brewery Store,NORMALIZATION
Clerk-Brewing,1,Clerk Brewing,NORMALIZATION
Clerk-Brick Manufactory,1,Clerk Brick Manufactory,NORMALIZATION
Clerk-Building Trade,1,Clerk Building Trade,NORMALIZATION
Clerk-Chandlery,1,Clerk Chandlery,NORMALIZATION
Clerk-Chartered Acct.,1,Clerk Chartered Acct.,NORMALIZATION
Clerk-Chemical,1,Clerk Chemical,NORMALIZATION
Clerk-Church of Ireland,1,Clerk Church of Ireland,NORMALIZATION
Clerk-City Court,1,Clerk City Court,NORMALIZATION
Clerk-Civil Service,1,Clerk Civil Service,NORMALIZATION
Clerk-Civil Service (National Education Ireland),1,Clerk Civil Service National Education Ireland,NORMALIZATION
Clerk-Civil Service Prisons Department Ireland,1,Clerk Civil Service Prisons Department Ireland,NORMALIZATION
Clerk-Coal Merchants,1,Clerk Coal Merchants,NORMALIZATION
Clerk-Coal Office,1,Clerk Coal Office,NORMALIZATION
Clerk-Coal Stone,1,Clerk Coal Stone,NORMALIZATION
Clerk-Coal Timber and Hardware,1,Clerk Coal Timber and Hardware,NORMALIZATION
Clerk-Collector,1,Clerk Collector,NORMALIZATION
Clerk-Coml,1,Clerk Coml,NORMALIZATION
Clerk-Commercial (Insurance),1,Clerk Commercial Insurance,NORMALIZATION
Clerk-Commercial Grocery,1,Clerk Commercial Grocery,NORMALIZATION
Clerk-Commercial Tobacconist,1,Clerk Commercial Tobacconist,NORMALIZATION
"Clerk-Comp and Acct Jenls Office General Port Office, London",1,"Clerk Comp and Acct Jenls Office General Port Office, London",NORMALIZATION
Clerk-Copying,1,Clerk Copying,NORMALIZATION
Clerk-Cork Electric ? Co,1,Clerk Cork Electric ? Co,NORMALIZATION
Clerk-Corn Mills,1,Clerk Corn Mills,NORMALIZATION
Clerk-Corn Trade,1,Clerk Corn Trade,NORMALIZATION
Clerk-County Council,1,Clerk County Council,NORMALIZATION
Clerk-Court Bankrupty,1,Clerk Court Bankrupty,NORMALIZATION
Clerk-Creamery,1,Clerk Creamery,NORMALIZATION
Clerk-Cycle Trade,1,Clerk Cycle Trade,NORMALIZATION
Clerk-Dairy,1,Clerk Dairy,NORMALIZATION
Clerk-Damask Factory,1,Clerk Damask Factory,NORMALIZATION
Clerk-Department of agriculture and Technical In,1,Clerk Department of agriculture and Technical In,NORMALIZATION
Clerk-Despatch,1,Clerk Despatch,NORMALIZATION
Clerk-Disheler,1,Clerk Disheler,NORMALIZATION
Clerk-Distiller's,1,Clerk Distiller's,NORMALIZATION
Clerk-District Council,1,Clerk District Council,NORMALIZATION
Clerk-Drug Store,1,Clerk Drug Store,NORMALIZATION
Clerk-Dry Goods,1,Clerk Dry Goods,NORMALIZATION
Clerk-Dublin Corpration,1,Clerk Dublin Corpration,NORMALIZATION
Clerk-Dye-Works,1,Clerk Dye Works,NORMALIZATION
Clerk-Education Office (Superannutted),1,Clerk Education Office Superannutted,NORMALIZATION
Clerk-Education Officer,1,Clerk Education Officer,NORMALIZATION
Clerk-Engineering Trade,1,Clerk Engineering Trade,NORMALIZATION
Clerk-Estate Unemployed,1,Clerk Estate Unemployed,NORMALIZATION
Clerk-Excise,1,Clerk Excise,NORMALIZATION
Clerk-Finance Dept Dublin Corporation,1,Clerk Finance Dept Dublin Corporation,NORMALIZATION
Clerk-Flax Spinning and Weaving,1,Clerk Flax Spinning and Weaving,NORMALIZATION
Clerk-Flour Mill,1,Clerk Flour Mill,NORMALIZATION
Clerk-Flour Store,1,Clerk Flour Store,NORMALIZATION
Clerk-Freight,1,Clerk Freight,NORMALIZATION
Clerk-G-Sewr,1,Clerk G Sewr,NORMALIZATION
Clerk-G. P. O,1,Clerk G. P. O,NORMALIZATION
Clerk-Gas Works,1,Clerk Gas Works,NORMALIZATION
Clerk-Geamery,1,Clerk Geamery,NORMALIZATION
Clerk-General and Private Tuitor,1,Clerk General and Private Tuitor,NORMALIZATION
Clerk-General Register office,1,Clerk General Register office,NORMALIZATION
Clerk-General-Unemployed,1,Clerk General Unemployed,NORMALIZATION
Clerk-Goods,1,Clerk Goods,NORMALIZATION
Clerk-Grain,1,Clerk Grain,NORMALIZATION
Clerk-Grocer's,1,Clerk Grocer's,NORMALIZATION
Clerk-Hal Manufy,1,Clerk Hal Manufy,NORMALIZATION
Clerk-Harbour,1,Clerk Harbour,NORMALIZATION
Clerk-Harbour Office,1,Clerk Harbour Office,NORMALIZATION
Clerk-Harbour Works,1,Clerk Harbour Works,NORMALIZATION
Clerk-Hardware,1,Clerk Hardware,NORMALIZATION
Clerk-Holy Orders M A,1,Clerk Holy Orders M A,NORMALIZATION
Clerk-House Furnishing,1,Clerk House Furnishing,NORMALIZATION
Clerk-in Bakery,1,Clerk in Bakery,NORMALIZATION
Clerk-in Paper Mill,1,Clerk in Paper Mill,NORMALIZATION
Clerk-in Public Health Office,1,Clerk in Public Health Office,NORMALIZATION
Clerk-in Shop Grocery,1,Clerk in Shop Grocery,NORMALIZATION
Clerk-in Whole-Sale House,1,Clerk in Whole Sale House,NORMALIZATION
Clerk-in-Holy Orders,1,Clerk in Holy Orders,NORMALIZATION
Clerk-Insurance Office,1,Clerk Insurance Office,NORMALIZATION
Clerk-Insurance Officer,1,Clerk Insurance Officer,NORMALIZATION
Clerk-Insurance Unemployed,1,Clerk Insurance Unemployed,NORMALIZATION
Clerk-Ireland Revenue,1,Clerk Ireland Revenue,NORMALIZATION
Clerk-Irish Railway Cleaning House,1,Clerk Irish Railway Cleaning House,NORMALIZATION
Clerk-Land Agent,1,Clerk Land Agent,NORMALIZATION
Clerk-Land Commissn Temporary,1,Clerk Land Commissn Temporary,NORMALIZATION
Clerk-Laundry,1,Clerk Laundry,NORMALIZATION
Clerk-Law,1,Clerk Law,NORMALIZATION
Clerk-Leather Store,1,Clerk Leather Store,NORMALIZATION
Clerk-Leather Warehouse,1,Clerk Leather Warehouse,NORMALIZATION
Clerk-Library,1,Clerk Library,NORMALIZATION
Clerk-Linen Canbr Trade,1,Clerk Linen Canbr Trade,NORMALIZATION
Clerk-Linen Factory,1,Clerk Linen Factory,NORMALIZATION
Clerk-Linen Thread,1,Clerk Linen Thread,NORMALIZATION
Clerk-Linen Trade Unemployed,1,Clerk Linen Trade Unemployed,NORMALIZATION
Clerk-Litho-Printing,1,Clerk Litho Printing,NORMALIZATION
Clerk-Local Gov Board,1,Clerk Local Gov Board,NORMALIZATION
Clerk-Local Government Board for Ireland,1,Clerk Local Government Board for Ireland,NORMALIZATION
Clerk-Machine Makers,1,Clerk Machine Makers,NORMALIZATION
Clerk-Manager Plumbing Trade,1,Clerk Manager Plumbing Trade,NORMALIZATION
Clerk-Manufacturer's,1,Clerk Manufacturer's,NORMALIZATION
Clerk-Marble and Stone Trade,1,Clerk Marble and Stone Trade,NORMALIZATION
Clerk-Markets,1,Clerk Markets,NORMALIZATION
Clerk-Matterson Bacon Store,1,Clerk Matterson Bacon Store,NORMALIZATION
Clerk-Milk Factory,1,Clerk Milk Factory,NORMALIZATION
Clerk-Mineral Water Factory,1,Clerk Mineral Water Factory,NORMALIZATION
Clerk-Newspaper Office,1,Clerk Newspaper Office,NORMALIZATION
Clerk-Not Employed,1,Clerk Not Employed,NORMALIZATION
Clerk-Office of Education,1,Clerk Office of Education,NORMALIZATION
Clerk-Paper Merchants,1,Clerk Paper Merchants,NORMALIZATION
Clerk-Paper Mill Warehouse,1,Clerk Paper Mill Warehouse,NORMALIZATION
Clerk-Paper Trade,1,Clerk Paper Trade,NORMALIZATION
Clerk-Political,1,Clerk Political,NORMALIZATION
Clerk-Postal Telegraph,1,Clerk Postal Telegraph,NORMALIZATION
Clerk-Postoffice,1,Clerk Postoffice,NORMALIZATION
Clerk-Printers and Stationers and,1,Clerk Printers and Stationers and,NORMALIZATION
Clerk-Printing Office,1,Clerk Printing Office,NORMALIZATION
Clerk-Prison Service,1,Clerk Prison Service,NORMALIZATION
Clerk-Prisons Cd Ireland,1,Clerk Prisons Cd Ireland,NORMALIZATION
Clerk-Provision,1,Clerk Provision,NORMALIZATION
Clerk-Publisher's,1,Clerk Publisher's,NORMALIZATION
Clerk-Railway at Works,1,Clerk Railway at Works,NORMALIZATION
Clerk-Rector Holy Order,1,Clerk Rector Holy Order,NORMALIZATION
Clerk-Registration,1,Clerk Registration,NORMALIZATION
Clerk-Rent Agency,1,Clerk Rent Agency,NORMALIZATION
Clerk-Rent Office,1,Clerk Rent Office,NORMALIZATION
Clerk-Rope Factory,1,Clerk Rope Factory,NORMALIZATION
Clerk-Sanitary Eng. and C,1,Clerk Sanitary Eng. and C,NORMALIZATION
Clerk-Shipping and Timber,1,Clerk Shipping and Timber,NORMALIZATION
Clerk-Shipping Trade,1,Clerk Shipping Trade,NORMALIZATION
Clerk-Shirt Factory,1,Clerk Shirt Factory,NORMALIZATION
Clerk-Shorthand and Typewriting,1,Clerk Shorthand and Typewriting,NORMALIZATION
Clerk-Shorthand Typewriter,1,Clerk Shorthand Typewriter,NORMALIZATION
Clerk-Soap and Glass Warehouse,1,Clerk Soap and Glass Warehouse,NORMALIZATION
Clerk-Solicitor General,1,Clerk Solicitor General,NORMALIZATION
Clerk-Solicitor's Unemployed,1,Clerk Solicitor's Unemployed,NORMALIZATION
Clerk-Solrs. Office (Drapery),1,Clerk Solrs. Office Drapery,NORMALIZATION
Clerk-Sorting Dep G.P.O. Dub,1,Clerk Sorting Dep G.P.O. Dub,NORMALIZATION
Clerk-Spirit Store,1,Clerk Spirit Store,NORMALIZATION
Clerk-Stationer's,1,Clerk Stationer's,NORMALIZATION
Clerk-Stationer's Shop,1,Clerk Stationer's Shop,NORMALIZATION
Clerk-Steam Saw Mills,1,Clerk Steam Saw Mills,NORMALIZATION
Clerk-Steam Ship Cc,1,Clerk Steam Ship Cc,NORMALIZATION
Clerk-Steam Ship Co,1,Clerk Steam Ship Co,NORMALIZATION
Clerk-Steampacket,1,Clerk Steampacket,NORMALIZATION
Clerk-Stock Broker's,1,Clerk Stock Broker's,NORMALIZATION
Clerk-Stone Trade,1,Clerk Stone Trade,NORMALIZATION
