occupation,count,corrected_occupation,change_category
Government Stock Broker,1,Government Stock Broker,UNCHANGED
Government Stock Broker's Clerk,1,Government Stock Broker's Clerk,UNCHANGED
Government Sub Post Mistress,1,Government Sub Post Mistress,UNCHANGED
Government Valuer,1,Government Valuer,UNCHANGED
Government Valuer and Surveyor General Valuation Office,1,Government Valuer and Surveyor General Valuation Office,UNCHANGED
Government Vel Inspector,1,Government Vel Inspector,UNCHANGED
Government Voluer Genl Valuation Office,1,Government Voluer Genl Valuation Office,UNCHANGED
Government Works Business at Home,1,Government Works Business at Home,UNCHANGED
Governments Stock,1,Governments Stock,UNCHANGED
Governmt Clerk,1,Governmt Clerk,UNCHANGED
Governners,1,Governners,UNCHANGED
Governor,1,Governor,UNCHANGED
Governor 'Prison' Prisons Service,1,Governor 'Prison' Prisons Service,UNCHANGED
Governor ?,1,Governor ?,UNCHANGED
Governor Goal Retired,1,Governor Goal Retired,UNCHANGED
Governor Prison Service,1,Governor Prison Service,UNCHANGED
"Governor, Prions Service",1,"Governor, Prions Service",UNCHANGED
Governor. Genl Prisons Service Ireland,1,Governor. Genl Prisons Service Ireland,UNCHANGED
Governors,1,Governors,UNCHANGED
Governors Clerk,1,Governors Clerk,UNCHANGED
Govert Agent,1,Govert Agent,UNCHANGED
Govr Pensioner,1,Govr Pensioner,UNCHANGED
Govt Analyst,1,Govt Analyst,UNCHANGED
Govt Clerk,1,Govt Clerk,UNCHANGED
Govt Labourer,1,Govt Labourer,UNCHANGED
Govt Military Pensioner,1,Govt Military Pensioner,UNCHANGED
Govt Officer,1,Govt Officer,UNCHANGED
Govt Pensioner,1,Govt Pensioner,UNCHANGED
Govt Rily Surgeon,1,Govt Rily Surgeon,UNCHANGED
Govt Shorthand Write,1,Govt Shorthand Write,UNCHANGED
Govt Supt G.P.O Dublin,1,Govt Supt G.P.O Dublin,UNCHANGED
Govt Veterinary Surgeon,1,Govt Veterinary Surgeon,UNCHANGED
Govt. Auditor,1,Govt. Auditor,UNCHANGED
Govt. City Inspector,1,Govt. City Inspector,UNCHANGED
Govt. Stickbroker,1,Govt. Stickbroker,UNCHANGED
Govt. Veterinary Inspector,1,Govt. Veterinary Inspector,UNCHANGED
Govt. Veterinary Surgeon,1,Govt. Veterinary Surgeon,UNCHANGED
Gowing Assistant,1,Gowing Assistant,UNCHANGED
Gowing it School,1,Gowing it School,UNCHANGED
Gowing to Schol,1,Gowing to Schol,UNCHANGED
GPO Messenger,1,GPO Messenger,UNCHANGED
Gr,1,Gr,UNCHANGED
Gr 126 Battery R.F.A,1,Gr 126 Battery R.F.A,UNCHANGED
Gr 126 Battery R.F.A.,1,Gr 126 Battery R.F.A.,UNCHANGED
Gr Child,1,Gr Child,UNCHANGED
Gr Clerk,1,Gr Clerk,UNCHANGED
Gr Clerk Engineer in Chief's Office G.P.O.,1,Gr Clerk Engineer in Chief's Office G.P.O.,UNCHANGED
Gr P O Servant,1,Gr P O Servant,UNCHANGED
Gr Propretor,1,Gr Propretor,UNCHANGED
Gr Royal Artillery,1,Gr Royal Artillery,UNCHANGED
Gr Scholar,1,Gr Scholar,UNCHANGED
Gr School,1,Gr School,UNCHANGED
Gr Teacher,1,Gr Teacher,UNCHANGED
Gr. Daughter,1,Gr. Daughter,UNCHANGED
Gr. Merchant,1,Gr. Merchant,UNCHANGED
Grace and Publican,1,Grace and Publican,UNCHANGED
Grace Boy,1,Grace Boy,UNCHANGED
Grace Boy Tramway Company,1,Grace Boy Tramway Company,UNCHANGED
Grace Smith,1,Grace Smith,UNCHANGED
Gracer,1,Gracer,UNCHANGED
Gracer and Wine Merchant,1,Gracer and Wine Merchant,UNCHANGED
Gracer and Wine Merchant Assistant,1,Gracer and Wine Merchant Assistant,UNCHANGED
Gracer Assistant,1,Gracer Assistant,UNCHANGED
Gracer's Assistant,1,Gracer's Assistant,UNCHANGED
Gracer's Messenger,1,Gracer's Messenger,UNCHANGED
Gracers Assist,1,Gracers Assist,UNCHANGED
Gracers Assistant,1,Gracers Assistant,UNCHANGED
Gracers Assistant Unemployed,1,Gracers Assistant Unemployed,UNCHANGED
Grad Royal Unis. Ireland,1,Grad Royal Unis. Ireland,UNCHANGED
Gradler,1,Gradler,UNCHANGED
Graduate,1,Graduate,UNCHANGED
Graduate ?,1,Graduate ?,UNCHANGED
Graduate Arts and Medicine,1,Graduate Arts and Medicine,UNCHANGED
Graduate B A R U J Class 1 Clerk Civil Service Record Officer Ireland,1,Graduate B A R U J Class 1 Clerk Civil Service Record Officer Ireland,UNCHANGED
Graduate B.A.R.U.I.,1,Graduate B.A.R.U.I.,UNCHANGED
Graduate B.A.T.C.D,1,Graduate B.A.T.C.D,UNCHANGED
Graduate Bachelor of Arts,1,Graduate Bachelor of Arts,UNCHANGED
"Graduate Cantab, Law Student Mid. Temple",1,"Graduate Cantab, Law Student Mid. Temple",UNCHANGED
Graduate in Law and c Royal University,1,Graduate in Law and c Royal University,UNCHANGED
Graduate in Medicine and Surgery Univ. Dublin,1,Graduate in Medicine and Surgery Univ. Dublin,UNCHANGED
"Graduate in Medicine H B, Bch, B A O R. U. I. Not Practising",1,"Graduate in Medicine H B, Bch, B A O R. U. I. Not Practising",UNCHANGED
Graduate Nurse,1,Graduate Nurse,UNCHANGED
Graduate of R.U.I. M.A.L.L.B,1,Graduate of R.U.I. M.A.L.L.B,UNCHANGED
Graduate of R.U.S.,1,Graduate of R.U.S.,UNCHANGED
Graduate of Royal University,1,Graduate of Royal University,UNCHANGED
Graduate of the Queen's University of Ireland Physician Surgeon and C,1,Graduate of the Queen's University of Ireland Physician Surgeon and C,UNCHANGED
Graduate of the Royal College of Veterinary Surgeons,1,Graduate of the Royal College of Veterinary Surgeons,UNCHANGED
Graduate Oxford,1,Graduate Oxford,UNCHANGED
Graduate R N Ireland,1,Graduate R N Ireland,UNCHANGED
Graduate R U Ireland Medical General Practitioner,1,Graduate R U Ireland Medical General Practitioner,UNCHANGED
Graduate R. A. C,1,Graduate R. A. C,UNCHANGED
Graduate R.I.W,1,Graduate R.I.W,UNCHANGED
Graduate R.U.,1,Graduate R.U.,UNCHANGED
Graduate Roy. University General Practitioner Justice of the Peace,1,Graduate Roy. University General Practitioner Justice of the Peace,UNCHANGED
Graduate T C D,1,Graduate T C D,UNCHANGED
Graduate T C D F R I S T,1,Graduate T C D F R I S T,UNCHANGED
Graduate T C D Solicitor,1,Graduate T C D Solicitor,UNCHANGED
Graduate T C Dublin,1,Graduate T C Dublin,UNCHANGED
Graduate T. C. D.,1,Graduate T. C. D.,UNCHANGED
Graduates M A Royal University,1,Graduates M A Royal University,UNCHANGED
Graduates of Royal University and Student of Theology,1,Graduates of Royal University and Student of Theology,UNCHANGED
Grafter,1,Grafter,UNCHANGED
Gragier,1,Gragier,UNCHANGED
Gragier's Son,1,Gragier's Son,UNCHANGED
Grain and Butter Merchant,1,Grain and Butter Merchant,UNCHANGED
Grain and Coal Merchant,1,Grain and Coal Merchant,UNCHANGED
Grain and Flour Merchant,1,Grain and Flour Merchant,UNCHANGED
Grain and General Merchants Clerk,1,Grain and General Merchants Clerk,UNCHANGED
Grain and Meal Merchant,1,Grain and Meal Merchant,UNCHANGED
Grain and Potato Merchant,1,Grain and Potato Merchant,UNCHANGED
Grain and Produce Commission Agent,1,Grain and Produce Commission Agent,UNCHANGED
Grain and Teed Merch,1,Grain and Teed Merch,UNCHANGED
Grain and Teed Mercht,1,Grain and Teed Mercht,UNCHANGED
Grain Bayer,1,Grain Bayer,UNCHANGED
Grain Buyer,1,Grain Buyer,UNCHANGED
Grain Byer,1,Grain Byer,UNCHANGED
Grain Commission Agent,1,Grain Commission Agent,UNCHANGED
Grain Elievator Driver,1,Grain Elievator Driver,UNCHANGED
Grain Elievator Eng.,1,Grain Elievator Eng.,UNCHANGED
Grain Importer,1,Grain Importer,UNCHANGED
Grain Laobrer,1,Grain Laobrer,UNCHANGED
Grain Lauborer,1,Grain Lauborer,UNCHANGED
Grain Mcht and Miller,1,Grain Mcht and Miller,UNCHANGED
Grain Merchant Assistn,1,Grain Merchant Assistn,UNCHANGED
Grain Merchant Grocer and Publican,1,Grain Merchant Grocer and Publican,UNCHANGED
Grain Merchant's Commercial Traveller,1,Grain Merchant's Commercial Traveller,UNCHANGED
Grain Merchants,1,Grain Merchants,UNCHANGED
Grain Miller and Farmer,1,Grain Miller and Farmer,UNCHANGED
Grain Ruller,1,Grain Ruller,UNCHANGED
Grain Weighman in Cook Stores,1,Grain Weighman in Cook Stores,UNCHANGED
Grainer,1,Grainer,UNCHANGED
Grainer and Farmer,1,Grainer and Farmer,UNCHANGED
Grainer and Painter,1,Grainer and Painter,UNCHANGED
Grains Agent,1,Grains Agent,UNCHANGED
Grains Agent and Retired,1,Grains Agent and Retired,UNCHANGED
Grains Clerk in Distillery,1,Grains Clerk in Distillery,UNCHANGED
Grains Merchant,1,Grains Merchant,UNCHANGED
Grains Solicitors Assistant,1,Grains Solicitors Assistant,UNCHANGED
Grains' Clerk in Distillery,1,Grains' Clerk in Distillery,UNCHANGED
Grainsman,1,Grainsman,UNCHANGED
Graint Flour Agent,1,Graint Flour Agent,UNCHANGED
Grainte Polisher,1,Grainte Polisher,UNCHANGED
Graizer and Farmer,1,Graizer and Farmer,UNCHANGED
Graizier,1,Graizier,UNCHANGED
Gral Labourer,1,Gral Labourer,UNCHANGED
Grallran,1,Grallran,UNCHANGED
Gram Broker,1,Gram Broker,UNCHANGED
Gram Labourer,1,Gram Labourer,UNCHANGED
Gramming Officer HM Custom,1,Gramming Officer HM Custom,UNCHANGED
Gramway Boy,1,Gramway Boy,UNCHANGED
Gran Grocer,1,Gran Grocer,UNCHANGED
Gran Son,1,Gran Son,UNCHANGED
Grand Butcher Boy,1,Grand Butcher Boy,UNCHANGED
Grand Canal Lock Keeper,1,Grand Canal Lock Keeper,UNCHANGED
Grand Child of Merchant,1,Grand Child of Merchant,UNCHANGED
Grand Daughter Scholar,1,Grand Daughter Scholar,UNCHANGED
Grand Dgtr,1,Grand Dgtr,UNCHANGED
Grand Farmers Daugher,1,Grand Farmers Daugher,UNCHANGED
Grand Merchant,1,Grand Merchant,UNCHANGED
Grand Porter and General Labourer,1,Grand Porter and General Labourer,UNCHANGED
Grand Scholar,1,Grand Scholar,UNCHANGED
Grand Servat Domestic,1,Grand Servat Domestic,UNCHANGED
Grand Son and Scholar,1,Grand Son and Scholar,UNCHANGED
Grand Son Ateng School,1,Grand Son Ateng School,UNCHANGED
Grand Son Schlr,1,Grand Son Schlr,UNCHANGED
Grandaughter,1,Grandaughter,UNCHANGED
Granddaughter,1,Granddaughter,UNCHANGED
Granit Quarryman,1,Granit Quarryman,UNCHANGED
Granite and Grocer and c Merchant,1,Granite and Grocer and c Merchant,UNCHANGED
Granite Contractor,1,Granite Contractor,UNCHANGED
Granite General Merchat and Grocary Shop,1,Granite General Merchat and Grocary Shop,UNCHANGED
Granite Grocer and Merchant,1,Granite Grocer and Merchant,UNCHANGED
Granite Labourer,1,Granite Labourer,UNCHANGED
Granite mason,1,Granite mason,UNCHANGED
Granite Mecht,1,Granite Mecht,UNCHANGED
Granite Polisher,1,Granite Polisher,UNCHANGED
Granite Pollisher,1,Granite Pollisher,UNCHANGED
Granite Sett Maker,1,Granite Sett Maker,UNCHANGED
Granite Stone Cutter,1,Granite Stone Cutter,UNCHANGED
Granite Stone Merchant,1,Granite Stone Merchant,UNCHANGED
Granite Stone Setmaker,1,Granite Stone Setmaker,UNCHANGED
Granity Merchant,1,Granity Merchant,UNCHANGED
Granson,1,Granson,UNCHANGED
Grant from Carpenters Society,1,Grant from Carpenters Society,UNCHANGED
Grant Grocer,1,Grant Grocer,UNCHANGED
Grant Servant,1,Grant Servant,UNCHANGED
Graper Porter,1,Graper Porter,UNCHANGED
Graperess,1,Graperess,UNCHANGED
Graphologist,1,Graphologist,UNCHANGED
Grarce Contractor,1,Grarce Contractor,UNCHANGED
Grarly Wages,1,Grarly Wages,UNCHANGED
Gras Labouer,1,Gras Labouer,UNCHANGED
Grason Dom Servant,1,Grason Dom Servant,UNCHANGED
Grass Farmer,1,Grass Farmer,UNCHANGED
Grass Fitters Helper,1,Grass Fitters Helper,UNCHANGED
Grass Mak Maker,1,Grass Mak Maker,UNCHANGED
Grass Turner,1,Grass Turner,UNCHANGED
Grastion Engine Driver,1,Grastion Engine Driver,UNCHANGED
Grate Filter,1,Grate Filter,UNCHANGED
Gravedigger,1,Gravedigger,UNCHANGED
Gravel Contractor,1,Gravel Contractor,UNCHANGED
Grayer,1,Grayer,UNCHANGED
Grayner and Farmer,1,Grayner and Farmer,UNCHANGED
Grazer and Farmer,1,Grazer and Farmer,UNCHANGED
Grazier and Cattle Labourer,1,Grazier and Cattle Labourer,UNCHANGED
Grazier and Draper,1,Grazier and Draper,UNCHANGED
Grazier and Farmer J P,1,Grazier and Farmer J P,UNCHANGED
Grazier and J.P.,1,Grazier and J.P.,UNCHANGED
Grazier and Land Owner,1,Grazier and Land Owner,UNCHANGED
Grazier and Publican,1,Grazier and Publican,UNCHANGED
Grazier Financier,1,Grazier Financier,UNCHANGED
Grazier's Wife,1,Grazier's Wife,UNCHANGED
Grazieress,1,Grazieress,UNCHANGED
Graziers,1,Graziers,UNCHANGED
Graziers and Cattle Dealer,1,Graziers and Cattle Dealer,UNCHANGED
Grazies and Dairy Props,1,Grazies and Dairy Props,UNCHANGED
Grazing Farmer,1,Grazing Farmer,UNCHANGED
Grazor Farmer,1,Grazor Farmer,UNCHANGED
Grcers Assistant,1,Grcers Assistant,UNCHANGED
Grcy Assistant,1,Grcy Assistant,UNCHANGED
Grd Rents Houses,1,Grd Rents Houses,UNCHANGED
"Grd Son, Scholar",1,"Grd Son, Scholar",UNCHANGED
Grdner and Decorator,1,Grdner and Decorator,UNCHANGED
Grean Keeper Gy Club,1,Grean Keeper Gy Club,UNCHANGED
Grease Maker,1,Grease Maker,UNCHANGED
Greaser at Corporation Pumping Station,1,Greaser at Corporation Pumping Station,UNCHANGED
Greaser Main Drainage,1,Greaser Main Drainage,UNCHANGED
Greaser on Ship,1,Greaser on Ship,UNCHANGED
"Greaser, on Steamer",1,"Greaser, on Steamer",UNCHANGED
Great Northern Railly Fireman,1,Great Northern Railly Fireman,UNCHANGED
Great Nothern Raily Servant Servant,1,Great Nothern Raily Servant Servant,UNCHANGED
Great S and W Railway Shunter,1,Great S and W Railway Shunter,UNCHANGED
Great Western Rly Co Clerk,1,Great Western Rly Co Clerk,UNCHANGED
Great Westren Cheker in ?udland,1,Great Westren Cheker in ?udland,UNCHANGED
Grecor Bus?nos,1,Grecor Bus?nos,UNCHANGED
Green,1,Green,UNCHANGED
Green and Publican,1,Green and Publican,UNCHANGED
Green Blacker,1,Green Blacker,UNCHANGED
Green Broker and Agent,1,Green Broker and Agent,UNCHANGED
Green Grocar,1,Green Grocar,UNCHANGED
Green Groce,1,Green Groce,UNCHANGED
Green Grocen,1,Green Grocen,UNCHANGED
Green Grocer and Army Pensioner,1,Green Grocer and Army Pensioner,UNCHANGED
Green Grocer Family,1,Green Grocer Family,UNCHANGED
Green Grocer in Business,1,Green Grocer in Business,UNCHANGED
Green Grocer Labour,1,Green Grocer Labour,UNCHANGED
Green Grocer Master,1,Green Grocer Master,UNCHANGED
Green Grocer Porter,1,Green Grocer Porter,UNCHANGED
Green Grocer Under Clerk,1,Green Grocer Under Clerk,UNCHANGED
Green Grocer's Assistant,1,Green Grocer's Assistant,STANDARD
Green Grocer's Son,1,Green Grocer's Son,UNCHANGED
Green Grocers,1,Green Grocers,UNCHANGED
Green Grocers Assist,1,Green Grocers Assist,UNCHANGED
Green Groeer,1,Green Groeer,UNCHANGED
Green Groer Dealer,1,Green Groer Dealer,UNCHANGED
Green Grosers Assistant,1,Green Grosers Assistant,UNCHANGED
Green Groucer,1,Green Groucer,UNCHANGED
Green Grouth ? Van Man,1,Green Grouth ? Van Man,UNCHANGED
Green Grover,1,Green Grover,UNCHANGED
Green Keeper,1,Green Keeper,UNCHANGED
Green Keeper of Golf Club,1,Green Keeper of Golf Club,UNCHANGED
Green Linnen Weaver in Linen Factory,1,Green Linnen Weaver in Linen Factory,UNCHANGED
Green Manager,1,Green Manager,UNCHANGED
Green Merchant Farmer and Grocer,1,Green Merchant Farmer and Grocer,UNCHANGED
Green's Assistant,1,Green's Assistant,UNCHANGED
Greengrocer Shopkeeper,1,Greengrocer Shopkeeper,UNCHANGED
Greengrocers,1,Greengrocers,UNCHANGED
Greengrocers Assistant,1,Greengrocers Assistant,UNCHANGED
Greengrocers Porter,1,Greengrocers Porter,UNCHANGED
Greenkeeper,1,Greenkeeper,UNCHANGED
Greenkeeper Golflinks,1,Greenkeeper Golflinks,UNCHANGED
Greenman in Dye and Bleach Works,1,Greenman in Dye and Bleach Works,UNCHANGED
Greenman in Dyeing and Bleaching Works,1,Greenman in Dyeing and Bleaching Works,UNCHANGED
Greens Nurse,1,Greens Nurse,UNCHANGED
Greenworker,1,Greenworker,UNCHANGED
Greer and Sprit Merchant,1,Greer and Sprit Merchant,UNCHANGED
Greer of Glencraig and Canon of Down,1,Greer of Glencraig and Canon of Down,UNCHANGED
Grein Grocer,1,Grein Grocer,UNCHANGED
Grenal Labour,1,Grenal Labour,UNCHANGED
Grending Engine Driver,1,Grending Engine Driver,UNCHANGED
Greta Attending School,1,Greta Attending School,UNCHANGED
Grewers Labourer,1,Grewers Labourer,UNCHANGED
Grezier,1,Grezier,UNCHANGED
Grice Folder,1,Grice Folder,UNCHANGED
Gricultural Farm Labourer,1,Gricultural Farm Labourer,UNCHANGED
Gril Labouring,1,Gril Labouring,UNCHANGED
Grimmer in Laundry,1,Grimmer in Laundry,UNCHANGED
Grin Superintendent,1,Grin Superintendent,UNCHANGED
Grind in Spining Mill,1,Grind in Spining Mill,UNCHANGED
Grinder Foundry,1,Grinder Foundry,UNCHANGED
Grinder in Foundry,1,Grinder in Foundry,UNCHANGED
Grinder M. A. T. C. D.,1,Grinder M. A. T. C. D.,UNCHANGED
Grinding Factory Miller,1,Grinding Factory Miller,UNCHANGED
Gripe Cleaner,1,Gripe Cleaner,UNCHANGED
Grist Miller,1,Grist Miller,UNCHANGED
Grizier,1,Grizier,UNCHANGED
Grizier Wife,1,Grizier Wife,UNCHANGED
Grl Domestic Servant,1,Grl Domestic Servant,STANDARD
Grl Labour,1,Grl Labour,UNCHANGED
Grl Servant Unemployed,1,Grl Servant Unemployed,UNCHANGED
Gro Clerk,1,Gro Clerk,UNCHANGED
Groacer Assistant,1,Groacer Assistant,UNCHANGED
Groacer Unemployed,1,Groacer Unemployed,UNCHANGED
Grocary,1,Grocary,UNCHANGED
Groce,1,Groce,UNCHANGED
Groce and Spirit Dealer,1,Groce and Spirit Dealer,UNCHANGED
Groce Engine Fitter,1,Groce Engine Fitter,UNCHANGED
Groce's Assistant,1,Groce's Assistant,UNCHANGED
Groceay Anboy,1,Groceay Anboy,UNCHANGED
Grocee and China Merchant,1,Grocee and China Merchant,UNCHANGED
Groceer,1,Groceer,UNCHANGED
Groceier,1,Groceier,UNCHANGED
Grocen and Spirit Dealer,1,Grocen and Spirit Dealer,UNCHANGED
grocer,1,grocer,UNCHANGED
Grocer & Insurance Agent. Master,1,Grocer & Insurance Agent. Master,UNCHANGED
Grocer & Spirit,1,Grocer & Spirit,UNCHANGED
Grocer & Spirit Dealer,1,Grocer & Spirit Dealer,UNCHANGED
Grocer ? and Druggist,1,Grocer ? and Druggist,UNCHANGED
Grocer A,1,Grocer A,UNCHANGED
Grocer A C,1,Grocer A C,UNCHANGED
Grocer Ac,1,Grocer Ac,UNCHANGED
Grocer Act,1,Grocer Act,UNCHANGED
Grocer Agricultural Labourer,1,Grocer Agricultural Labourer,UNCHANGED
Grocer Aissistant,1,Grocer Aissistant,UNCHANGED
Grocer Alderman and I P,1,Grocer Alderman and I P,UNCHANGED
Grocer and ?,1,Grocer and ?,UNCHANGED
Grocer and A,1,Grocer and A,UNCHANGED
Grocer and America Publican,1,Grocer and America Publican,UNCHANGED
Grocer and Auctioner,1,Grocer and Auctioner,UNCHANGED
Grocer and Baker and General Merchant,1,Grocer and Baker and General Merchant,UNCHANGED
Grocer and Bakery,1,Grocer and Bakery,UNCHANGED
Grocer and Bar Retailer,1,Grocer and Bar Retailer,UNCHANGED
Grocer and Batler,1,Grocer and Batler,UNCHANGED
Grocer and Blacksmith,1,Grocer and Blacksmith,UNCHANGED
Grocer and Bread Server,1,Grocer and Bread Server,UNCHANGED
Grocer and Building Contractor,1,Grocer and Building Contractor,UNCHANGED
Grocer and Butcher,1,Grocer and Butcher,UNCHANGED
Grocer and Butter Buyer,1,Grocer and Butter Buyer,UNCHANGED
Grocer and Butter Meat,1,Grocer and Butter Meat,UNCHANGED
Grocer And C,1,Grocer And C,UNCHANGED
Grocer and c Accountant Unemployed,1,Grocer and c Accountant Unemployed,UNCHANGED
Grocer and C and C,1,Grocer and C and C,UNCHANGED
Grocer and c and Farmer,1,Grocer and c and Farmer,UNCHANGED
Grocer and C and Publican,1,Grocer and C and Publican,UNCHANGED
Grocer and C Commercial Clerk,1,Grocer and C Commercial Clerk,UNCHANGED
Grocer and C.,1,Grocer and C.,UNCHANGED
Grocer and C.B.O,1,Grocer and C.B.O,UNCHANGED
Grocer and Cab Owner,1,Grocer and Cab Owner,UNCHANGED
Grocer and Cafe Proprietor,1,Grocer and Cafe Proprietor,UNCHANGED
Grocer and Cattle Dealer,1,Grocer and Cattle Dealer,UNCHANGED
Grocer and Cattle Dealer and Farmer,1,Grocer and Cattle Dealer and Farmer,UNCHANGED
Grocer and CCC,1,Grocer and CCC,UNCHANGED
Grocer and Chandler,1,Grocer and Chandler,UNCHANGED
Grocer and Co Dealer,1,Grocer and Co Dealer,UNCHANGED
Grocer and Coachman,1,Grocer and Coachman,UNCHANGED
Grocer and Coal Dealer,1,Grocer and Coal Dealer,UNCHANGED
Grocer and Coal Merchant,1,Grocer and Coal Merchant,UNCHANGED
Grocer and Com Merchant,1,Grocer and Com Merchant,UNCHANGED
Grocer and Commercial,1,Grocer and Commercial,UNCHANGED
Grocer and Comrs Agent,1,Grocer and Comrs Agent,UNCHANGED
Grocer and Confect,1,Grocer and Confect,UNCHANGED
Grocer and Confection,1,Grocer and Confection,UNCHANGED
Grocer and Confectionery,1,Grocer and Confectionery,UNCHANGED
Grocer and Corn Merchant,1,Grocer and Corn Merchant,UNCHANGED
Grocer and Cottier,1,Grocer and Cottier,UNCHANGED
Grocer and Cpinst Jorder,1,Grocer and Cpinst Jorder,UNCHANGED
Grocer and Dairy Keeper,1,Grocer and Dairy Keeper,UNCHANGED
Grocer and Daper,1,Grocer and Daper,UNCHANGED
Grocer and Delph Shop,1,Grocer and Delph Shop,UNCHANGED
Grocer and Draper and C,1,Grocer and Draper and C,UNCHANGED
Grocer and Draper Merchant,1,Grocer and Draper Merchant,UNCHANGED
Grocer and Draper Shop Assistant,1,Grocer and Draper Shop Assistant,UNCHANGED
Grocer and Draper Stamp Distributor Registrar of Marriages,1,Grocer and Draper Stamp Distributor Registrar of Marriages,UNCHANGED
Grocer and Draperus,1,Grocer and Draperus,UNCHANGED
Grocer and Driver Merchant,1,Grocer and Driver Merchant,UNCHANGED
Grocer and Droper,1,Grocer and Droper,UNCHANGED
Grocer and Drug Porter,1,Grocer and Drug Porter,UNCHANGED
Grocer and Druggist Unemployed,1,Grocer and Druggist Unemployed,UNCHANGED
Grocer and ect,1,Grocer and ect,UNCHANGED
Grocer and Egg Mercht,1,Grocer and Egg Mercht,UNCHANGED
Grocer and Embrordy Agent,1,Grocer and Embrordy Agent,UNCHANGED
Grocer and Emigration Agent Wife,1,Grocer and Emigration Agent Wife,UNCHANGED
Grocer and etc,1,Grocer and etc,UNCHANGED
Grocer and Fancy Goods Merchant,1,Grocer and Fancy Goods Merchant,UNCHANGED
Grocer and Farmer Eggs and Butter Exporter,1,Grocer and Farmer Eggs and Butter Exporter,UNCHANGED
Grocer and Farmer Son,1,Grocer and Farmer Son,UNCHANGED
Grocer and Farrier,1,Grocer and Farrier,UNCHANGED
Grocer and Fish Merchant,1,Grocer and Fish Merchant,UNCHANGED
Grocer and Flour Merchant,1,Grocer and Flour Merchant,UNCHANGED
Grocer and Flour Merht,1,Grocer and Flour Merht,UNCHANGED
Grocer and Fruterer,1,Grocer and Fruterer,UNCHANGED
Grocer and Furnisher,1,Grocer and Furnisher,UNCHANGED
Grocer and G Merchant,1,Grocer and G Merchant,UNCHANGED
Grocer and Gardener,1,Grocer and Gardener,UNCHANGED
Grocer and Gas Man,1,Grocer and Gas Man,UNCHANGED
Grocer and General Dealers Daughter,1,Grocer and General Dealers Daughter,UNCHANGED
Grocer and General Domtic,1,Grocer and General Domtic,UNCHANGED
Grocer and General Shop Assistant,1,Grocer and General Shop Assistant,UNCHANGED
Grocer and Genl Provision Dealer,1,Grocer and Genl Provision Dealer,UNCHANGED
Grocer and Grain Meht,1,Grocer and Grain Meht,UNCHANGED
Grocer and Grazier,1,Grocer and Grazier,UNCHANGED
Grocer and Gror Mercht,1,Grocer and Gror Mercht,UNCHANGED
Grocer and H. Ware Merch,1,Grocer and H. Ware Merch,UNCHANGED
Grocer and Hairdresser,1,Grocer and Hairdresser,UNCHANGED
Grocer and Hardwar,1,Grocer and Hardwar,UNCHANGED
Grocer and Hardward Merchant,1,Grocer and Hardward Merchant,UNCHANGED
Grocer and Hardware Assistant,1,Grocer and Hardware Assistant,UNCHANGED
Grocer and Hardware Dealer,1,Grocer and Hardware Dealer,UNCHANGED
Grocer and Hardware Maid,1,Grocer and Hardware Maid,UNCHANGED
Grocer and Hardware Manager Sub Postmaster,1,Grocer and Hardware Manager Sub Postmaster,UNCHANGED
Grocer and Hardware Mecht,1,Grocer and Hardware Mecht,UNCHANGED
Grocer and Hardware Merchent,1,Grocer and Hardware Merchent,UNCHANGED
Grocer and Hawker,1,Grocer and Hawker,UNCHANGED
Grocer and Hay Merchant,1,Grocer and Hay Merchant,UNCHANGED
Grocer and House Holder,1,Grocer and House Holder,UNCHANGED
Grocer and Isa Dealer,1,Grocer and Isa Dealer,UNCHANGED
Grocer and Labourer,1,Grocer and Labourer,UNCHANGED
Grocer and Land Merchand,1,Grocer and Land Merchand,UNCHANGED
Grocer and Licened Dealer,1,Grocer and Licened Dealer,UNCHANGED
Grocer and Licensed Trader,1,Grocer and Licensed Trader,UNCHANGED
Grocer and Liquor,1,Grocer and Liquor,UNCHANGED
Grocer and Lodging,1,Grocer and Lodging,UNCHANGED
Grocer and Lodgings,1,Grocer and Lodgings,UNCHANGED
Grocer and Master Baker,1,Grocer and Master Baker,UNCHANGED
Grocer and Meal Store,1,Grocer and Meal Store,UNCHANGED
Grocer and Merchant Stationers,1,Grocer and Merchant Stationers,UNCHANGED
Grocer and Message Boy,1,Grocer and Message Boy,UNCHANGED
Grocer and Nurse,1,Grocer and Nurse,UNCHANGED
Grocer and Oil Merchant,1,Grocer and Oil Merchant,UNCHANGED
Grocer and P.O. Office,1,Grocer and P.O. Office,UNCHANGED
Grocer and Par,1,Grocer and Par,UNCHANGED
Grocer and Pen?eyor,1,Grocer and Pen?eyor,UNCHANGED
Grocer and Pensioner from Regular Army,1,Grocer and Pensioner from Regular Army,UNCHANGED
Grocer and Polician,1,Grocer and Polician,UNCHANGED
Grocer and Poor Dealer,1,Grocer and Poor Dealer,UNCHANGED
Grocer and Post Car of Funeral Undertaken,1,Grocer and Post Car of Funeral Undertaken,UNCHANGED
Grocer and Post Master,1,Grocer and Post Master,UNCHANGED
Grocer and Post Mistress,1,Grocer and Post Mistress,STANDARD
Grocer and Post Office Assistant,1,Grocer and Post Office Assistant,UNCHANGED
Grocer and Postry Master,1,Grocer and Postry Master,UNCHANGED
