occupation,count,corrected_occupation,change_category
Grocer Assistant,522,Grocer Assistant,STANDARD
Scholar's,519,Scholar's,UNCHANGED
Seamster,518,Seamster,STANDARD
Clergyman,517,Clergyman,UNCHANGED
Telegraph Messenger,515,Telegraph Messenger,STANDARD
Boot and Shoemaker,514,Boot and Shoemaker,STANDARD
Annuity,511,Annuity,STANDARD
Traveller,504,Traveller,UNCHANGED
Farmer and Publican,502,Farmer and Publican,UNCHANGED
House Holder,500,House Holder,STANDARD
Annuitant,496,Annuitant,UNCHANGED
Shop Girl,493,Shop Girl,STANDARD
General House Work,490,General House Work,STANDARD
Tinsmith,487,Tinsmith,STANDARD
Householder,484,Householder,UNCHANGED
Mechanic,480,Mechanic,UNCHANGED
Gentleman,475,Gentleman,UNCHANGED
Dairy Man,473,Dairy Man,STANDARD
Hairdresser,467,Hairdresser,STANDARD
Post Boy,466,Post Boy,STANDARD
Private,466,Private,UNCHANGED
Assistant Housekeeper,463,Assistant Housekeeper,STANDARD
Barman,460,Barman,STANDARD
Parish Priest,452,Parish Priest,STANDARD
Steward,452,Steward,UNCHANGED
Pork Butcher,449,Pork Butcher,STANDARD
Printer Compositor,445,Printer Compositor,STANDARD
Watchmaker,444,Watchmaker,STANDARD
Asylum Attendant,438,Asylum Attendant,STANDARD
Law Clerk,436,Law Clerk,STANDARD
Machine Boy,434,Machine Boy,STANDARD
No Trade,434,No Trade,UNCHANGED
Green Grocer,433,Green Grocer,STANDARD
Labourer Genl,432,Labourer Genl,STANDARD
General Dealer,430,General Dealer,STANDARD
Horse Trainer,430,Horse Trainer,STANDARD
Cottier,427,Cottier,UNCHANGED
Farmer and Fisherman,427,Farmer and Fisherman,UNCHANGED
Bricklayers Labourer,426,Bricklayers Labourer,STANDARD
Parlour Maid,424,Parlour Maid,STANDARD
Yarn Reeler,424,Yarn Reeler,STANDARD
Barber,421,Barber,UNCHANGED
Tram Conductor,420,Tram Conductor,STANDARD
Sister of Charity,416,Sister of Charity,UNCHANGED
Hotel Keeper,415,Hotel Keeper,STANDARD
Labourer's Daughter,411,Labourer's Daughter,STANDARD
Pensioner,403,Pensioner,UNCHANGED
Upholsterer,403,Upholsterer,UNCHANGED
Naval Pensioner,402,Naval Pensioner,UNCHANGED
Lodger,399,Lodger,UNCHANGED
Railway Signalman,397,Railway Signalman,STANDARD
Gamekeeper,392,Gamekeeper,UNCHANGED
Photographer,392,Photographer,UNCHANGED
Sprigger,392,Sprigger,UNCHANGED
Basket Maker,391,Basket Maker,STANDARD
Provision Merchant,391,Provision Merchant,UNCHANGED
Schooler,391,Schooler,UNCHANGED
Farmer Brother,390,Farmer Brother,UNCHANGED
Schoolboy,390,Schoolboy,UNCHANGED
Farmer and Carpenter,388,Farmer and Carpenter,UNCHANGED
Provision Dealer,388,Provision Dealer,STANDARD
Horse Dealer,386,Horse Dealer,STANDARD
Flesher,385,Flesher,UNCHANGED
Servant General,385,Servant General,STANDARD
Railway Engine Driver,384,Railway Engine Driver,STANDARD
Spinner in Mill,381,Spinner in Mill,STANDARD
Creamery Manager,380,Creamery Manager,UNCHANGED
F Son,380,F Son,STANDARD
Linen Finisher,380,Linen Finisher,STANDARD
Garden Labourer,379,Garden Labourer,STANDARD
No Scholar,378,No Scholar,STANDARD
Bleacher,376,Bleacher,UNCHANGED
Coal Porter,376,Coal Porter,STANDARD
Commission Agent,376,Commission Agent,UNCHANGED
General Merchant,374,General Merchant,UNCHANGED
