NAME,gender,1996_count,1997_count,1998_count,1999_count,2000_count,count,90sCount
ABBI-LEIGH,F,0,0,0,0,0,4,0
ABBI-LOUISE,F,0,0,0,0,0,3,0
ABBI-MAE,F,0,0,0,0,0,3,0
ABBYGAEL,F,0,0,0,0,0,3,0
ABBYGAYLE,F,3,3,0,0,0,6,6
ABBY-MAY,F,0,0,0,0,0,3,0
ABD,M,5,4,3,4,0,137,16
ABDAAL,M,0,0,0,0,0,3,0
ABDALRAHMAN,M,0,0,0,0,0,10,0
ABDARAHMAN,M,0,0,0,0,0,3,0
ABDELAZIZ,M,0,0,0,0,0,3,0
ABDELKADER,M,0,0,0,0,0,4,0
ABDELKARIM,M,0,3,0,0,0,6,3
ABDELLAH,M,0,0,0,0,0,29,0
ABDELMALEK,M,0,0,0,0,0,9,0
ABDELMOUMEN,M,0,0,0,0,0,3,0
ABDELRAHIM,M,0,0,0,0,0,3,0
ABDELRAHMANE,M,0,0,0,0,0,3,0
ABDERAHMAN,M,0,0,0,0,0,11,0
ABDERAHMANE,M,0,0,0,0,0,4,0
ABDERRAHMAN,M,0,0,0,0,0,3,0
ABDERRAHMANE,M,0,0,0,0,0,4,0
ABDIASIS,M,0,0,0,0,0,3,0
ABDIAZIZ,M,0,3,0,5,0,43,8
ABDIFATAH,M,3,0,3,0,3,69,9
ABDIHAFID,M,0,0,0,0,0,11,0
ABDIHAKIM,M,0,5,3,0,0,24,8
ABDIHAMID,M,0,0,0,0,0,11,0
ABDIKADIR,M,0,0,0,0,0,7,0
ABDIKARIM,M,0,0,0,3,0,48,3
ABDIKARIN,M,0,0,0,0,0,6,0
ABDIKHALIQ,M,0,0,0,0,0,6,0
ABDILADIF,M,0,0,0,0,0,4,0
ABDILAHI,M,0,0,0,0,0,21,0
ABDILLAHI,M,0,0,0,3,5,53,8
ABDIMAJID,M,0,0,0,0,0,12,0
ABDIMAJIID,M,0,0,0,0,0,3,0
ABDIMALIK,M,3,0,0,0,4,99,7
ABDINASIR,M,4,3,6,0,0,62,13
