NAME,gender,count,90sCount,AdjustedCount
ALLESSE,F,7,7,7
ALLI,F,3,3,3
ALLIE,F,142,34,142
ALLISHA,F,49,20,49
ALLISON,F,138,47,138
ALLISSA,F,18,0,6
ALLIYAH,F,203,47,203
ALLY,F,174,40,174
ALLYSHA,F,48,28,48
ALLYSON,F,38,13,38
ALMA,F,1077,30,1077
ALMAAS,F,45,15,45
ALMAS,F,128,34,128
ALMIRA,F,73,9,73
ALPHONSA,F,15,0,5
ALTHEA,F,152,18,152
ALVINA,F,107,10,107
ALYA,F,226,30,226
ALYCE,F,146,69,146
ALYCIA,F,269,83,269
ALYISHA,F,12,3,12
ALYS,F,1086,249,1086
ALYSA,F,66,3,66
ALYSHA,F,1292,437,1292
ALYSHIA,F,140,57,140
ALYSIA,F,528,88,528
ALYSON,F,51,22,51
ALYSSA,F,4740,288,4740
ALYSSIA,F,1048,73,1048
ALYX,F,175,93,175
ALYXANDRA,F,15,12,15
AMA,F,163,26,163
AMAAL,F,124,13,124
AMAANI,F,280,50,280
AMAARA,F,119,11,119
AMAARAH,F,94,21,94
AMAIA,F,201,7,201
AMAL,F,842,170,842
AMALIA,F,589,61,589
AMALIE,F,661,21,661
AMAN,F,258,56,258
AMANA,F,251,44,251
AMANDA,F,11092,797,11092
AMANDEEP,F,252,122,252
AMANDINE,F,57,9,57
AMANI,F,1259,167,1259
AMANPREET,F,220,80,220
AMARA,F,1621,158,1621
AMARACHI,F,180,16,180
AMARAH,F,370,52,370
AMARDEEP,F,16,16,16
AMARI,F,200,5,200
AMARIS,F,154,8,154
AMARNI,F,81,16,81
AMARPREET,F,38,19,38
AMATULLAH,F,110,17,110
AMAYA,F,1835,27,1835
AMBA,F,298,86,298
AMBAH,F,7,7,7
AMBAR,F,144,38,144
AMBER,F,27234,7601,27234
AMBEREEN,F,3,3,3
AMBER-JADE,F,45,26,45
AMBER-JANE,F,7,4,7
AMBER-JAYNE,F,3,3,3
AMBERLEA,F,3,3,3
AMBER-LEE,F,4,4,4
AMBER-LEIGH,F,94,30,94
AMBERLEY,F,168,43,168
AMBER-LILY,F,50,3,50
AMBER-LOUISE,F,124,52,124
AMBERLY,F,26,5,26
AMBER-MARIE,F,37,5,37
AMBER-ROSE,F,357,65,357
AMBIA,F,37,18,37
AMBIKA,F,82,24,82
AMBRA,F,31,15,31
AMBREEN,F,135,55,135
AMBRIN,F,37,19,37
AMBROSIA,F,3,0,1
AME,F,15,6,15
AMEE,F,82,42,82
AMEENA,F,494,95,494
AMEENAH,F,169,35,169
AMEERA,F,1270,83,1270
AMEERAH,F,548,33,548
AMEL,F,141,21,141
AMELIA,F,65400,6323,65400
AMELIA-GRACE,F,268,0,89
AMELIAH,F,112,0,37
AMELIA-JANE,F,101,12,101
AMELIA-LILLY,F,101,0,34
AMELIA-ROSE,F,1183,12,1183
AMELIE,F,12341,47,12341
AMELINE,F,11,0,4
AMELIYA,F,61,0,20
AMENA,F,212,55,212
AMENAH,F,45,13,45
AMERA,F,146,19,146
AMETHYST,F,78,14,78
AMEY,F,35,29,35
AMI,F,792,285,792
AMIE,F,2856,1113,2856
AMIEE,F,460,124,460
AMIE-LOUISE,F,26,11,26
AMIKA,F,26,4,26
AMILAH,F,149,7,149
AMILEE,F,25,0,8
AMILIA,F,200,10,200
AMI-LOUISE,F,13,7,13
AMINA,F,4591,821,4591
AMINAH,F,2184,250,2184
AMINAT,F,87,29,87
AMINATA,F,241,26,241
AMIRA,F,3069,205,3069
AMIRAH,F,1816,196,1816
AMISHA,F,237,31,237
AMITY,F,69,0,23
AMIYA,F,225,3,225
AMMA,F,26,8,26
AMMAARAH,F,401,157,401
AMMARA,F,366,68,366
AMMARAH,F,492,105,492
AMMIE,F,49,24,49
AMNA,F,1409,194,1409
AMNAH,F,191,33,191
AMORA,F,24,0,8
AMRA,F,52,7,52
AMRAN,F,70,13,70
AMREEN,F,210,67,210
AMREET,F,71,9,71
AMRIN,F,14,8,14
AMRIT,F,674,167,674
AMRITA,F,614,169,614
AMUN,F,26,13,26
AMY,F,63777,21710,63777
AMY-BETH,F,8,4,8
AMY-JANE,F,86,33,86
AMY-JAYNE,F,25,9,25
AMY-JO,F,79,36,79
AMYLEA,F,11,11,11
AMY-LEA,F,14,7,14
AMYLEE,F,36,6,36
AMY-LEE,F,102,17,102
