firstNameCap,count
MARGREAT,202
FARRELL,198
MARYANE,198
EUPHEMIA,197
KATHARINE,195
MGT,195
MARAGRET,194
JAME,193
AIDEN,192
JOHNNY,192
CYRIL,191
ABIGAIL,190
CARRIE,190
LEAH,190
BARTHOLMEW,189
GEOFFREY,189
BRIDGETT,187
JOHNEY,187
TOMAS,187
AUGUSTA,186
CHRISTIANA,186
BEESY,185
ANTONY,181
ELIZBETH,181
MARGRAT,181
LOUIE,179
SEBINA,178
THADE,178
TOBIAS,178
JOHNNIE,177
REBECA,177
EUGANE,176
THOMASINA,175
PHILOMENA,173
CHRISTIE,172
DUNCAN,172
EMLY,172
HONORAH,172
MALCOLM,172
RHODA,172
BRIAN,171
DANNIE,171
FERGUS,171
JANEY,171
POLLY,171
MARJORIE,170
ELLY,169
EDGAR,168
MABLE,168
TOMMY,168
WILFRED,168
BARBRA,167
JANES,167
HOWARD,166
MARGUERITE,166
PRUDENCE,166
RITA,166
SADIE,166
MARAGET,164
ONNIE,163
CAMPBELL,162
MILES,162
ROSENA,162
HANS,161
WILLIAN,161
ELEEN,160
NONIE,160
PETTER,160
ROSS,160
KENNEDY,159
KYRAN,159
AIDAN,158
MANNIE,157
TERANCE,157
WESLEY,157
MURTY,156
SUSIE,156
ELIZABITH,155
CHARLESS,154
SOLOMON,154
BATTY,153
DANIL,153
DIANA,151
MARKS,151
MATTHIAS,151
BAT,150
GERARD,150
WILLY,150
ALICK,149
JACKSON,149
MEARY,149
LOUGHLIN,148
NANNY,148
NAPPY,148
TILDA,148
AGNIS,147
CATE,147
FINTON,147
ISABELL,147
CRISTINA,146
KATEY,146
JINNIE,145
CHRISTENA,144
EVALINE,144
THIMOTHY,144
BOB,143
MIRIAM,143
LUCEY,142
PATERICK,142
DORCAS,141
IRVINE,141
MARGRATE,141
EMILIE,140
PRISCILLA,140
ANNASTATIA,139
JIM,139
PEGGY,139
LIZZEY,138
CRISTOPHER,137
ERIC,137
BELL,136
CISSIE,136
DORATHEA,136
TESSIE,134
DANNIEL,132
LARRY,132
CLEMENT,131
DUDLEY,131
GABRIEL,131
SANDY,131
ELEZABETH,130
HUMPHRY,130
BRDGET,129
DEBORA,129
CHRISTOPER,128
CORS,128
KEATE,128
VERA,128
AUGUSTUS,127
ISABELA,126
LOTTIE,126
MARSELLA,126
SOPHIE,126
HANNORA,125
MAXWELL,125
BEN,124
HELLEN,124
ANIE,123
CHRISTINIA,123
JOHNY,123
HANNORAH,122
MICH,122
RAYMOND,122
ELIZTH,121
NANCEY,121
ANABELLA,120
ARTHER,120
CATRINE,120
ONEY,120
SILVESTER,120
CHARLIS,119
EILLEN,119
JOS,119
MAGT,119
MILLICENT,119
MORRIS,119
JOAN,118
MARJORY,118
DEBBIE,117
KEVIN,117
STUART,117
WINEFORD,117
ALAN,116
CATHERENE,116
ETTA,116
INA,116
MARSHALL,116
PHILL,116
STELLA,116
ELIZABTH,115
