NAME,count
BEDWYR,57
BELAL,92
BELLAMY,3
BELTRAN,3
BEN,37968
BENAS,86
BENCE,34
BENEDICT,2944
BENEDIKT,26
BENEDIKTAS,1
BENET,5
BENETT,10
BENI,39
BENICIO,11
BENITO,136
BENJAMAN,37
BENJAMEN,75
BENJAMIN,91067
BENJAMYN,28
BENJI,79
BENJIMAN,42
BENN,328
BENNET,1
BENNETT,67
BENNI,3
BENNIE,5
BENNY,218
BENOIT,71
BENSON,146
BENTLEY,973
BENTON,29
BENYAMIN,172
BEREN,64
BERISH,4
BERK,30
BERKAN,79
BERKAY,139
BERKE,33
BERNARD,10797
BERNARDAS,1
BERNARDO,25
BERNIE,80
BERT,70
BERTAN,30
BERTIE,1910
BERTRAM,1849
BERTRAND,41
BERTY,1
BESMIR,3
BETHEL,2
BEVAN,185
BEVIS,1
BEVON,1
BEXLEY,6
BHARAT,17
BHAVESH,59
BHAVIK,75
BHAVIN,55
BHUPINDER,8
BILAAL,368
BILAL,3102
BILL,277
BILLAL,98
BILLIE,133
BILLY,15362
BILLY-JAMES,13
BILLY-JO,6
BILLYJOE,23
BILLY-JOE,217
BILLY-LEE,35
BILLY-RAY,89
BINYAMIN,84
BINYOMIN,60
BISHOP,1
BJORN,141
BLADE,156
BLAIN,35
BLAINE,555
BLAIR,156
BLAISE,250
BLAIZE,66
BLAKE,10316
BLANE,113
BLAYDE,2
BLAYNE,124
BLAZE,164
BLEDDYN,114
BLEON,8
BLESS,4
BLESSED,5
BLESSING,58
BLESSINGS,2
BLEU,102
BLISS,3
BLU,163
BLUE,262
BLYTH,9
BLYTHE,1
BO,129
BOAZ,141
BOB,111
BOBBIE,377
BOBBY,9861
BOBBY-JOE,87
BODE,22
BODEN,61
BODHI,503
BODI,9
BODIE,160
BODRUL,7
BOE,21
BOGDAN,25
BOHDAN,3
BONHAM,6
BONIFACE,3
BONO,1
BOOKER,2
BORIS,392
BORUCH,71
BOSCO,9
BOSTON,93
BOUBACAR,4
BOWEN,159
BOWIE,20
BOYCE,2
BOYCIE,2
BOYD,204
BOZHIDAR,2
BRACKEN,15
BRAD,1279
BRADAN,16
BRADD,21
BRADEN,470
BRADIE,27
BRADLEE,233
BRAD-LEE,45
BRADLEIGH,151
BRADLEY,31232
BRADLIE,4
BRADLY,95
BRADON,14
BRADY,534
BRAE,58
BRAEDON,22
BRAIDEN,282
BRAM,102
BRAMWELL,28
BRAN,14
BRANDAN,555
BRANDEN,431
BRANDO,4
BRANDON,25994
BRANDON-,6
BRANDONLEE,39
BRANDON-LEE,370
BRANDYN,53
BRANNAN,28
BRANNON,93
BRANT,3
BRAX,29
BRAXTON,100
BRAY,115
BRAYDAN,20
BRAYDEN,1316
BRAYDON,585
BRECON,12
BREMNER,1
BREN,1
BRENDAN,2602
BRENDAN-LEE,6
BRENDEN,242
BRENDON,795
BRENDYN,1
BRENIN,1
BRENNAN,474
BRENNEN,18
BRENNIG,3
BRENNON,15
BRENT,232
BRENTON,43
BRET,129
BRETT,2055
BRIAN,28130
BRICE,59
BRIGHT,19
BRINDLEY,10
BRINLEY,122
BROC,1
BROCK,121
BRODAN,2
BRODEE,1
BRODEN,114
BRODERICK,1
BRODEY,33
BRODI,67
BRODIE,1997
BRODY,2531
BROGAN,952
BROGEN,14
BROGHAN,4
BRONSON,140
BROOK,471
BROOKE,160
BROOKLIN,4
BROOKLYN,2258
BRUCE,1944
BRUIN,1
BRUNO,1047
BRUSK,3
BRYAN,3680
BRYANT,1
BRYCE,604
BRYCEN,1
BRYCHAN,76
BRYDEN,12
BRYN,1320
BRYNLEY,157
BRYNMOR,32
BRYNN,67
BRYON,1
BRYSON,104
BRYTHON,3
BUBACARR,2
BUCK,1
BUDDY,796
BULENT,3
BURAK,164
BURHAN,168
BURT,7
BUSTER,253
BUZZ,5
BYRAN,32
BYRON,2073
CAAN,3
CABHAN,6
CADAN,171
CADE,599
CADELL,27
CADEN,1578
CAEDEN,32
CAEDON,2
CAEL,139
CAELAN,944
CAELEB,9
CAELEN,29
CAELIN,2
CAELUM,48
CAELYN,1
CAEN,4
CAERAN,3
CAERON,8
CAERWYN,9
CAESAR,14
CAI,2175
CAIDAN,83
CAIDEN,1648
CAILAN,153
CAILEAN,36
CAILEB,16
CAILEM,6
CAILEN,95
CAILLEN,2
CAILUM,50
CAIN,1813
CAINAN,21
CAINE,683
CAIO,294
CAIRAN,66
CAIRO,511
CAIUS,275
CAL,134
CALAM,42
CALAN,156
CALDER,27
CALE,149
CALEB,8879
CALEDON,3
CALEM,48
CALEN,59
CALEY,5
CALIB,33
CALLAGHAN,15
CALLAM,430
CALLAN,884
CALLEM,14
CALLEN,175
CALLUM,65476
CALLUMN,9
CALLUN,58
CALUB,19
CALUM,5948
CALUMN,11
CALVIN,2018
CAMARA,3
CAMARON,36
CAMBELL,6
CAMDEN,202
CAMERAN,104
CAMERON,38371
CAMERON-JAMES,66
CAMPBELL,437
CAMRAN,95
CAMREN,58
CAMRON,861
CAM'RON,100
CAN,242
CANAAN,59
CANE,37
CANER,57
CAOIMHIN,1
CAOL,3
CAOLAN,208
CARADOG,3
CARDELL,1
CAREY,34
CARL,8467
CARLIN,55
CARLITO,77
CARLO,483
CARLOS,984
CARLTON,382
CARLYLE,2
CARMELO,7
CARMINE,26
CARN,6
CAROL,2
CARRICK,176
CARRINGTON,3
CARSON,877
CARTER,4007
CARVELL,2
CARWYN,452
CARY,21
CASEY,3049
CASH,125
CASHEL,7
CASIAN,4
CASIMIR,19
CASPAR,815
CASPER,1349
CASPIAN,263
CASS,24
CASSIAN,202
CASSIDY,159
CASSIEL,4
CASSIUS,986
CASTIEL,33
CASTOR,3
CATHAL,122
CATHAN,22
CATO,5
CAVALLI,28
CAVAN,576
CAVANI,7
CAVEN,32
CAWLEY,3
CAYDE,4
CAYDEN,1546
CAYDON,23
CAYLEB,18
CAYLEM,37
CAYLUM,85
CAYMAN,22
CECIL,5753
CEDRIC,133
CEDRICK,2
CEEJAY,147
CEIRAN,68
CEIRION,20
CEIRON,30
CELLAN,98
CELT,85
CELYN,81
CEM,314
CEMAL,50
CENK,28
CERI,107
CERITH,21
CESAR,51
CESARE,1
CEZAR,10
CEZARY,25
CHACE,295
CHAD,1079
CHADD,17
CHADLEY,18
CHAE,65
CHAEL,8
CHAI,35
CHAIM,469
CHAKOTAY,4
CHAN,14
CHANCE,271
CHAND,8
CHANDAN,13
CHANDLER,413
CHANDON,13
CHANG,2
CHARALAMBOS,15
CHARBEL,22
CHARLEE,175
CHARLES,55906
CHARLEY,1687
CHARLIE,79781
CHARLIE-GEORGE,64
CHARLIE-JAMES,140
CHARLIE-LEE,4
CHARLIE-RAY,22
CHARLTON,162
CHARLY,167
CHAS,28
CHASE,2031
CHAUDHARY,24
CHAUDHRY,40
CHAUDRY,3
