NAME,gender,count,90sCount,AdjustedCount
AAYAT,F,177,0,59
AAYATH,F,4,0,1
AAYDEN,M,6,0,2
AAYESHA,F,14,3,14
AAYLA,F,34,0,11
AAYLIAH,F,3,0,1
AAYMA,F,3,0,1
AAYRA,F,6,0,2
AAYRAH,F,3,0,1
AAYSHA,F,12,0,4
AAYUSH,M,242,11,242
AAYUSHI,F,35,0,12
AAYZA,F,4,0,1
AAZAN,M,3,0,1
AAZEEN,F,7,0,2
ABA,F,9,3,9
ABAAN,M,67,0,22
ABAAS,M,28,13,28
ABAGAEL,F,4,4,4
ABAIGEAL,F,3,0,1
ABAN,M,32,0,11
ABANOUB,M,3,3,3
ABBAAS,M,27,6,27
ABBASS,M,3,3,3
ABBEE,F,6,6,6
ABBEYGAYLE,F,4,4,4
ABBEY-LEIGH,F,8,0,3
ABBEY-LOUISE,F,3,3,3
ABBIE-GAIL,F,4,4,4
ABBIEGAYLE,F,3,3,3
ABBIE-GAYLE,F,3,3,3
ABBIE-GRACE,F,3,0,1
ABBIE-JAI,F,3,0,1
ABBIE-JANE,F,3,0,1
ABBIE-LEA,F,3,0,1
ABBIE-LEE,F,4,4,4
ABBIELOUISE,F,3,3,3
ABBIE-MAI,F,6,0,2
ABBI-LEIGH,F,4,0,1
ABBI-LOUISE,F,3,0,1
ABBI-MAE,F,3,0,1
ABBYGAEL,F,3,0,1
ABBYGAYLE,F,6,6,6
ABBY-MAY,F,3,0,1
ABD,M,137,16,137
ABDAAL,M,3,0,1
ABDALRAHMAN,M,10,0,3
ABDARAHMAN,M,3,0,1
ABDELAZIZ,M,3,0,1
ABDELKADER,M,4,0,1
ABDELKARIM,M,6,3,6
ABDELLAH,M,29,0,10
ABDELMALEK,M,9,0,3
ABDELMOUMEN,M,3,0,1
ABDELRAHIM,M,3,0,1
ABDELRAHMANE,M,3,0,1
ABDERAHMAN,M,11,0,4
ABDERAHMANE,M,4,0,1
ABDERRAHMAN,M,3,0,1
ABDERRAHMANE,M,4,0,1
ABDIASIS,M,3,0,1
ABDIAZIZ,M,43,8,43
ABDIFATAH,M,69,9,69
ABDIHAFID,M,11,0,4
ABDIHAKIM,M,24,8,24
ABDIHAMID,M,11,0,4
ABDIKADIR,M,7,0,2
ABDIKARIM,M,48,3,48
ABDIKARIN,M,6,0,2
ABDIKHALIQ,M,6,0,2
ABDILADIF,M,4,0,1
ABDILAHI,M,21,0,7
ABDILLAHI,M,53,8,53
ABDIMAJID,M,12,0,4
ABDIMAJIID,M,3,0,1
ABDIMALIK,M,99,7,99
ABDINASIR,M,62,13,62
ABDINUR,M,3,0,1
ABDIQANI,M,26,0,9
ABDIRAHIIM,M,3,0,1
ABDIRAHIM,M,77,3,77
ABDIRAHMAAN,M,7,0,2
ABDIRASHID,M,35,3,35
ABDIRAZAQ,M,3,0,1
ABDIRISAK,M,3,0,1
ABDIRISAQ,M,22,6,22
ABDIRIZAK,M,29,3,29
ABDISALAM,M,15,0,5
